Date;Price
12-7-2023;1958
11-7-2023;1931.3
10-7-2023;1925
7-7-2023;1926.2
6-7-2023;1908.7
5-7-2023;1919.6
3-7-2023;1921.7
30-6-2023;1921.1
29-6-2023;1909.2
28-6-2023;1912.3
27-6-2023;1914
26-6-2023;1923.7
23-6-2023;1919.1
22-6-2023;1912.7
21-6-2023;1933.3
20-6-2023;1935.5
16-6-2023;1958.4
15-6-2023;1957.8
14-6-2023;1955.3
13-6-2023;1944.6
12-6-2023;1955.3
9-6-2023;1962.2
8-6-2023;1963.6
7-6-2023;1942.7
6-6-2023;1965.5
5-6-2023;1958
2-6-2023;1952.4
1-6-2023;1978
31-5-2023;1963.9
30-5-2023;1958
26-5-2023;1944.1
25-5-2023;1943.1
24-5-2023;1962.8
23-5-2023;1972.4
22-5-2023;1974.8
19-5-2023;1978.7
18-5-2023;1956.5
17-5-2023;1980.7
16-5-2023;1988.4
15-5-2023;2018
12-5-2023;2014.5
11-5-2023;2014.7
10-5-2023;2030.5
9-5-2023;2036.2
8-5-2023;2026.3
5-5-2023;2017.4
4-5-2023;2048
3-5-2023;2028.6
2-5-2023;2014.3
1-5-2023;1983.4
28-4-2023;1990.1
27-4-2023;1989.9
26-4-2023;1985.7
25-4-2023;1994
24-4-2023;1989.1
21-4-2023;1979.5
20-4-2023;2007.6
19-4-2023;1995.2
18-4-2023;2007.4
17-4-2023;1994.2
14-4-2023;2002.2
13-4-2023;2041.3
12-4-2023;2010.9
11-4-2023;2004.8
10-4-2023;1989.1
6-4-2023;2011.9
5-4-2023;2020.9
4-4-2023;2022.2
3-4-2023;1983.9
31-3-2023;1969
30-3-2023;1980.3
29-3-2023;1966.1
28-3-2023;1972.4
27-3-2023;1952.4
24-3-2023;1982.1
23-3-2023;1993.8
22-3-2023;1946.8
21-3-2023;1938
20-3-2023;1979.2
17-3-2023;1969.8
16-3-2023;1919
15-3-2023;1926.6
14-3-2023;1906.2
13-3-2023;1911.7
10-3-2023;1862
9-3-2023;1829.3
8-3-2023;1812.7
7-3-2023;1813.9
6-3-2023;1847.9
3-3-2023;1847.7
2-3-2023;1833.5
1-3-2023;1837.7
28-2-2023;1828.9
27-2-2023;1817
24-2-2023;1808.8
23-2-2023;1818
22-2-2023;1832
21-2-2023;1833
17-2-2023;1840.4
16-2-2023;1842
15-2-2023;1834.2
14-2-2023;1854
13-2-2023;1851.9
10-2-2023;1862.8
9-2-2023;1866.2
8-2-2023;1877.4
7-2-2023;1871.7
6-2-2023;1866.2
3-2-2023;1862.9
2-2-2023;1916.3
1-2-2023;1927.8
31-1-2023;1929.5
30-1-2023;1922.9
27-1-2023;1928.6
26-1-2023;1929.1
25-1-2023;1941.2
24-1-2023;1933.9
23-1-2023;1927.1
20-1-2023;1926.4
19-1-2023;1922.1
18-1-2023;1904.4
17-1-2023;1907.2
13-1-2023;1918.4
12-1-2023;1895.5
11-1-2023;1874.6
10-1-2023;1871.6
9-1-2023;1872.7
6-1-2023;1864.2
5-1-2023;1834.8
4-1-2023;1852.8
3-1-2023;1839.7
30-12-2022;1819.7
29-12-2022;1819.5
28-12-2022;1807.9
27-12-2022;1814.8
23-12-2022;1795.9
22-12-2022;1787
21-12-2022;1815.9
20-12-2022;1815.9
19-12-2022;1787.7
16-12-2022;1790
15-12-2022;1777.2
14-12-2022;1807.5
13-12-2022;1813.9
12-12-2022;1780.5
9-12-2022;1798.1
8-12-2022;1788.7
7-12-2022;1785.5
6-12-2022;1769.3
5-12-2022;1767.4
2-12-2022;1795.9
1-12-2022;1801.1
30-11-2022;1746
29-11-2022;1748.4
28-11-2022;1740.1
25-11-2022;1753.3
23-11-2022;1744.9
22-11-2022;1738.3
21-11-2022;1737.4
18-11-2022;1751.9
17-11-2022;1760.8
16-11-2022;1773
15-11-2022;1773.8
14-11-2022;1773.6
11-11-2022;1766
10-11-2022;1750.3
9-11-2022;1710.1
8-11-2022;1712.1
7-11-2022;1676.5
4-11-2022;1672.5
3-11-2022;1627.3
2-11-2022;1645.7
1-11-2022;1645
31-10-2022;1635.9
28-10-2022;1639.6
27-10-2022;1660.7
26-10-2022;1664
25-10-2022;1652.8
24-10-2022;1648.7
21-10-2022;1651
20-10-2022;1630.8
19-10-2022;1627.5
18-10-2022;1649
17-10-2022;1657
14-10-2022;1641.7
13-10-2022;1670
12-10-2022;1670.3
11-10-2022;1678.7
10-10-2022;1667.3
7-10-2022;1700.5
6-10-2022;1711.7
5-10-2022;1711.4
4-10-2022;1721.1
3-10-2022;1692.9
30-9-2022;1662.4
29-9-2022;1658.5
28-9-2022;1660.4
27-9-2022;1626.7
26-9-2022;1623.3
23-9-2022;1645.3
22-9-2022;1670.8
21-9-2022;1664.6
20-9-2022;1659.7
19-9-2022;1666.2
16-9-2022;1671.7
15-9-2022;1665.4
14-9-2022;1696.5
13-9-2022;1705
12-9-2022;1728.1
9-9-2022;1716.2
8-9-2022;1708
7-9-2022;1715.3
6-9-2022;1700.4
2-9-2022;1709.8
1-9-2022;1696.6
31-8-2022;1712.8
30-8-2022;1723.2
29-8-2022;1736.6
26-8-2022;1736.1
25-8-2022;1757.7
24-8-2022;1747.8
23-8-2022;1746.8
22-8-2022;1734
19-8-2022;1747.6
18-8-2022;1755.3
17-8-2022;1760.3
16-8-2022;1773.2
15-8-2022;1781.4
12-8-2022;1798.6
11-8-2022;1789.7
10-8-2022;1795.6
9-8-2022;1794
8-8-2022;1786.8
5-8-2022;1772.9
4-8-2022;1788.5
3-8-2022;1758
2-8-2022;1771.1
1-8-2022;1769
29-7-2022;1762.9
28-7-2022;1750.3
27-7-2022;1719.1
26-7-2022;1717.7
25-7-2022;1719
22-7-2022;1727.1
21-7-2022;1712.7
20-7-2022;1699.5
19-7-2022;1710
18-7-2022;1709.2
15-7-2022;1702.4
14-7-2022;1704.5
13-7-2022;1734.2
12-7-2022;1723.3
11-7-2022;1730
8-7-2022;1740.6
7-7-2022;1737.9
6-7-2022;1734.9
5-7-2022;1761.8
1-7-2022;1798.9
30-6-2022;1804.1
29-6-2022;1813.7
28-6-2022;1817.5
27-6-2022;1820.9
24-6-2022;1826.5
23-6-2022;1825.7
22-6-2022;1834.3
21-6-2022;1834.6
17-6-2022;1835.6
16-6-2022;1845.7
15-6-2022;1815.3
14-6-2022;1809.5
13-6-2022;1828
10-6-2022;1871.5
9-6-2022;1848.8
8-6-2022;1851.9
7-6-2022;1847.5
6-6-2022;1839.2
3-6-2022;1845.4
2-6-2022;1866.5
1-6-2022;1843.3
31-5-2022;1842.7
27-5-2022;1851.3
26-5-2022;1847.4
25-5-2022;1846.2
24-5-2022;1865.1
23-5-2022;1847.8
20-5-2022;1841.8
19-5-2022;1841.2
18-5-2022;1815.9
17-5-2022;1818.2
16-5-2022;1813.5
13-5-2022;1807.4
12-5-2022;1823.8
11-5-2022;1852.6
10-5-2022;1839.9
9-5-2022;1857.1
6-5-2022;1881.2
5-5-2022;1874
4-5-2022;1867
3-5-2022;1868.8
2-5-2022;1861.8
29-4-2022;1909.3
28-4-2022;1888.7
27-4-2022;1885.9
26-4-2022;1901.4
25-4-2022;1893.2
22-4-2022;1931
21-4-2022;1944.9
20-4-2022;1952.3
19-4-2022;1955.7
18-4-2022;1982.9
14-4-2022;1970.9
13-4-2022;1981
12-4-2022;1972.1
11-4-2022;1944.3
8-4-2022;1941.6
7-4-2022;1933.8
6-4-2022;1918.4
5-4-2022;1922.9
4-4-2022;1929.2
1-4-2022;1919.1
31-3-2022;1949.2
30-3-2022;1933.5
29-3-2022;1912
28-3-2022;1939.6
25-3-2022;1953.8
24-3-2022;1961.6
23-3-2022;1936.6
22-3-2022;1920.7
21-3-2022;1928.6
18-3-2022;1928.2
17-3-2022;1942.1
16-3-2022;1908
15-3-2022;1928.5
14-3-2022;1959.6
11-3-2022;1982.7
10-3-2022;1998.1
9-3-2022;1985.9
8-3-2022;2040.1
7-3-2022;1993.9
4-3-2022;1965.1
3-3-2022;1934.4
2-3-2022;1920.9
1-3-2022;1942.4
28-2-2022;1899.4
25-2-2022;1886.5
24-2-2022;1925.1
23-2-2022;1909.2
22-2-2022;1906.1
18-2-2022;1898.6
17-2-2022;1900.7
16-2-2022;1870.2
15-2-2022;1854.8
14-2-2022;1868
11-2-2022;1840.8
10-2-2022;1836.2
9-2-2022;1835.2
8-2-2022;1826.6
7-2-2022;1820.6
4-2-2022;1806.6
3-2-2022;1803
2-2-2022;1809.2
1-2-2022;1800.3
31-1-2022;1795
28-1-2022;1784.9
27-1-2022;1793.3
26-1-2022;1829.9
25-1-2022;1852.7
24-1-2022;1841.7
21-1-2022;1831.8
20-1-2022;1842.5
19-1-2022;1843.1
18-1-2022;1812.3
14-1-2022;1816.5
13-1-2022;1821.2
12-1-2022;1827.2
11-1-2022;1818.6
10-1-2022;1798.4
7-1-2022;1797
6-1-2022;1788.7
5-1-2022;1824.6
4-1-2022;1814
3-1-2022;1799.4
31-12-2021;1827.5
30-12-2021;1812.7
29-12-2021;1805.1
28-12-2021;1810.2
27-12-2021;1808.1
23-12-2021;1811.2
22-12-2021;1801.6
21-12-2021;1787.9
20-12-2021;1793.7
17-12-2021;1803.8
16-12-2021;1796.6
15-12-2021;1762.6
14-12-2021;1770.4
13-12-2021;1786.3
10-12-2021;1782.9
9-12-2021;1774.6
8-12-2021;1783.4
7-12-2021;1782.6
6-12-2021;1777.5
3-12-2021;1782
2-12-2021;1760.7
1-12-2021;1781.6
30-11-2021;1773.6
29-11-2021;1782.3
26-11-2021;1785.3
24-11-2021;1784.1
23-11-2021;1783.5
22-11-2021;1806
19-11-2021;1851.2
18-11-2021;1861
17-11-2021;1869.7
16-11-2021;1853.6
15-11-2021;1866.1
12-11-2021;1867.9
11-11-2021;1863.2
10-11-2021;1847.6
9-11-2021;1830.2
8-11-2021;1827.4
5-11-2021;1816.4
4-11-2021;1793
