Date;Price
12-7-2023;158.75
11-7-2023;159.3
10-7-2023;161.75
7-7-2023;162.8
6-7-2023;162.35
5-7-2023;161.05
3-7-2023;162.5
30-6-2023;161
29-6-2023;163.6
28-6-2023;165.65
27-6-2023;169.45
26-6-2023;167.95
23-6-2023;168.05
22-6-2023;171.7
21-6-2023;172
20-6-2023;177.45
16-6-2023;184.9
15-6-2023;187
14-6-2023;184.4
13-6-2023;182.75
12-6-2023;185.55
9-6-2023;190.65
8-6-2023;194.85
7-6-2023;185.4
6-6-2023;182.6
5-6-2023;183.1
2-6-2023;180.3
1-6-2023;183.05
31-5-2023;178.65
30-5-2023;177.1
26-5-2023;181.6
25-5-2023;182.7
24-5-2023;188
23-5-2023;187.45
22-5-2023;189.2
19-5-2023;192
18-5-2023;190.45
17-5-2023;189.85
16-5-2023;190.35
15-5-2023;193.05
12-5-2023;186
11-5-2023;185.8
10-5-2023;187.45
9-5-2023;188
8-5-2023;186.9
5-5-2023;191
4-5-2023;186.4
3-5-2023;189.2
2-5-2023;190.65
1-5-2023;189.25
28-4-2023;189.85
27-4-2023;192.1
26-4-2023;195.85
25-4-2023;192.45
24-4-2023;196.75
21-4-2023;194.2
20-4-2023;195.9
19-4-2023;202.55
18-4-2023;205.25
17-4-2023;201
14-4-2023;193.4
13-4-2023;196.1
12-4-2023;190.25
11-4-2023;190.5
10-4-2023;182.6
6-4-2023;183.6
5-4-2023;180.15
4-4-2023;174.85
3-4-2023;176.25
31-3-2023;170.5
30-3-2023;169.8
29-3-2023;169.7
28-3-2023;173.75
27-3-2023;176.9
24-3-2023;179.25
23-3-2023;174.3
22-3-2023;178
21-3-2023;186.7
20-3-2023;184.9
17-3-2023;183
16-3-2023;185.5
15-3-2023;178.05
14-3-2023;180.9
13-3-2023;183.2
10-3-2023;182.25
9-3-2023;178
8-3-2023;179.55
7-3-2023;184.55
6-3-2023;182.45
3-3-2023;180.8
2-3-2023;183.95
1-3-2023;185.3
28-2-2023;190.4
27-2-2023;190.7
24-2-2023;191.2
23-2-2023;193.65
22-2-2023;199.5
21-2-2023;194.45
17-2-2023;188.7
16-2-2023;180.7
15-2-2023;176.85
14-2-2023;183.55
13-2-2023;177.05
10-2-2023;174.75
9-2-2023;173.65
8-2-2023;175.6
7-2-2023;177.05
6-2-2023;175.7
3-2-2023;172.8
2-2-2023;177.9
1-2-2023;175.9
31-1-2023;181.75
30-1-2023;170.4
27-1-2023;169.9
26-1-2023;167.15
25-1-2023;162.45
24-1-2023;159.85
23-1-2023;158.55
20-1-2023;154.8
19-1-2023;154.6
18-1-2023;155
17-1-2023;151.1
13-1-2023;151.7
12-1-2023;149.4
11-1-2023;143.9
10-1-2023;150.9
9-1-2023;158.05
6-1-2023;158.3
5-1-2023;160.55
4-1-2023;161.3
3-1-2023;166.3
30-12-2022;167.3
29-12-2022;170.05
28-12-2022;173.55
27-12-2022;166.95
23-12-2022;172
22-12-2022;168.9
21-12-2022;169.35
20-12-2022;167.8
19-12-2022;164.05
16-12-2022;164.15
15-12-2022;171.5
14-12-2022;168.3
13-12-2022;167.15
12-12-2022;166.35
9-12-2022;157.75
8-12-2022;156.9
7-12-2022;157.7
6-12-2022;161.05
5-12-2022;160.15
2-12-2022;160.15
1-12-2022;163.35
30-11-2022;167.7
29-11-2022;166.7
28-11-2022;160.65
25-11-2022;163.55
23-11-2022;160.1
22-11-2022;161.8
21-11-2022;157.5
18-11-2022;151.3
17-11-2022;152.7
16-11-2022;155.45
15-11-2022;156.75
14-11-2022;166.2
11-11-2022;170.1
10-11-2022;171
9-11-2022;165.15
8-11-2022;166.45
7-11-2022;170.55
4-11-2022;175.75
3-11-2022;172.2
2-11-2022;182.15
1-11-2022;174.6
31-10-2022;177.7
28-10-2022;169.8
27-10-2022;178.85
26-10-2022;179.75
25-10-2022;185.8
24-10-2022;190.4
21-10-2022;190.9
20-10-2022;191.05
19-10-2022;192.3
18-10-2022;195.1
17-10-2022;195.55
14-10-2022;196.7
13-10-2022;202.15
12-10-2022;209.75
11-10-2022;217.85
10-10-2022;217.45
7-10-2022;218.1
6-10-2022;217.7
5-10-2022;224.65
4-10-2022;219.3
3-10-2022;215.75
30-9-2022;221.55
29-9-2022;225.7
28-9-2022;228.7
27-9-2022;224.35
26-9-2022;223.8
23-9-2022;220.45
22-9-2022;223.55
21-9-2022;221.3
20-9-2022;228.1
19-9-2022;224.05
16-9-2022;218.05
15-9-2022;219.15
14-9-2022;217.6
13-9-2022;223.95
12-9-2022;227.75
9-9-2022;231.5
8-9-2022;225.85
7-9-2022;226.9
6-9-2022;233.9
2-9-2022;232.65
1-9-2022;236.35
31-8-2022;239.1
30-8-2022;239.15
29-8-2022;240.5
26-8-2022;242
25-8-2022;243.4
24-8-2022;242.95
23-8-2022;230.65
22-8-2022;224.3
19-8-2022;215.95
18-8-2022;214.7
17-8-2022;217.45
16-8-2022;219.35
15-8-2022;225.5
12-8-2022;226.6
11-8-2022;223.95
10-8-2022;220.45
9-8-2022;212.75
8-8-2022;211.85
5-8-2022;209.45
4-8-2022;219.3
3-8-2022;214.65
2-8-2022;209.9
1-8-2022;213.2
29-7-2022;217.2
28-7-2022;218.4
27-7-2022;219.1
26-7-2022;213.2
25-7-2022;210.05
22-7-2022;206.7
21-7-2022;215.85
20-7-2022;218.15
19-7-2022;220.4
18-7-2022;219.1
15-7-2022;203.7
14-7-2022;199.2
13-7-2022;211.25
12-7-2022;209.25
11-7-2022;216.9
8-7-2022;222.9
7-7-2022;222.2
6-7-2022;222.5
5-7-2022;224.65
1-7-2022;228.45
30-6-2022;233.6
29-6-2022;232.65
28-6-2022;221.9
27-6-2022;226
24-6-2022;226.6
23-6-2022;232.45
22-6-2022;238.6
21-6-2022;233.1
17-6-2022;227.65
16-6-2022;231.95
15-6-2022;228.5
14-6-2022;226.95
13-6-2022;223.35
10-6-2022;228.9
9-6-2022;234.65
8-6-2022;231.85
7-6-2022;232.15
6-6-2022;237.55
3-6-2022;232.4
2-6-2022;238.25
1-6-2022;239.45
31-5-2022;231.25
27-5-2022;229.45
26-5-2022;226.6
25-5-2022;217.05
24-5-2022;213.65
23-5-2022;215.75
20-5-2022;215.85
19-5-2022;218.7
18-5-2022;218.6
17-5-2022;228.2
16-5-2022;225.8
13-5-2022;212.9
12-5-2022;215
11-5-2022;220.1
10-5-2022;204
9-5-2022;206.3
6-5-2022;211.6
5-5-2022;218.4
4-5-2022;221.2
3-5-2022;218.2
2-5-2022;216.4
29-4-2022;222.55
28-4-2022;217.9
27-4-2022;215.95
26-4-2022;221.4
25-4-2022;220.8
22-4-2022;227.3
21-4-2022;228.15
20-4-2022;218.8
19-4-2022;221.3
18-4-2022;223.5
14-4-2022;223.6
13-4-2022;225.05
12-4-2022;233.6
11-4-2022;236.6
8-4-2022;231.65
7-4-2022;226.15
6-4-2022;227.6
5-4-2022;231.3
4-4-2022;230.6
1-4-2022;228.4
31-3-2022;226.4
30-3-2022;221.85
29-3-2022;215.7
28-3-2022;214.55
25-3-2022;221.85
24-3-2022;221.85
23-3-2022;225.3
22-3-2022;225.05
21-3-2022;225.85
18-3-2022;220.3
17-3-2022;217.3
16-3-2022;218.6
15-3-2022;212.3
14-3-2022;219.65
11-3-2022;222.95
10-3-2022;225.2
9-3-2022;230.45
8-3-2022;234.05
7-3-2022;225.5
4-3-2022;224.15
3-3-2022;224.15
2-3-2022;230.45
1-3-2022;237.25
28-2-2022;234.25
25-2-2022;240.05
24-2-2022;239.35
23-2-2022;248.6
22-2-2022;248.45
18-2-2022;246.85
17-2-2022;251.5
16-2-2022;252.25
15-2-2022;251.85
14-2-2022;247.55
11-2-2022;251.65
10-2-2022;255.2
9-2-2022;258.35
8-2-2022;248.95
7-2-2022;241.65
4-2-2022;241.85
3-2-2022;243.9
2-2-2022;238.8
1-2-2022;236.7
31-1-2022;235.1
28-1-2022;235.9
27-1-2022;232.05
26-1-2022;238.9
25-1-2022;237.9
24-1-2022;232.95
21-1-2022;237.9
20-1-2022;243.65
19-1-2022;244.45
18-1-2022;239.6
14-1-2022;239.65
13-1-2022;237
12-1-2022;240.85
11-1-2022;237.05
10-1-2022;234.9
7-1-2022;238.45
6-1-2022;231.7
5-1-2022;231.75
4-1-2022;231.75
3-1-2022;223.3
31-12-2021;226.1
30-12-2021;228.85
29-12-2021;228.9
28-12-2021;225.6
27-12-2021;227.05
23-12-2021;231.2
22-12-2021;233.55
21-12-2021;228.25
20-12-2021;224.4
17-12-2021;235.9
16-12-2021;236.95
15-12-2021;237.4
14-12-2021;237.15
13-12-2021;236.7
10-12-2021;232.7
9-12-2021;240.35
8-12-2021;244.75
7-12-2021;243.9
6-12-2021;250.2
3-12-2021;244.05
2-12-2021;237.45
1-12-2021;234.2
30-11-2021;233.25
29-11-2021;233.85
26-11-2021;243.85
24-11-2021;246.3
23-11-2021;242.55
22-11-2021;231.35
19-11-2021;233.3
18-11-2021;228.95
17-11-2021;232.6
16-11-2021;222.05
15-11-2021;222.75
12-11-2021;219.7
11-11-2021;210.9
10-11-2021;204
9-11-2021;205.9
8-11-2021;199.65
5-11-2021;203.55
4-11-2021;208.6
3-11-2021;209.3
2-11-2021;208.05
1-11-2021;208.7
29-10-2021;203.95
28-10-2021;199.95
27-10-2021;201.35
26-10-2021;208.1
25-10-2021;202.55
22-10-2021;199.85
21-10-2021;203.3
20-10-2021;205.55
19-10-2021;204.25
18-10-2021;201.6
15-10-2021;203.4
14-10-2021;209.25
13-10-2021;208.65
12-10-2021;213.15
11-10-2021;204.25
8-10-2021;201.35
7-10-2021;197.9
6-10-2021;193.45
5-10-2021;191.9
4-10-2021;200.35
1-10-2021;204.05
