Date;Week day;ON;1W;1M;2M;3M;6M;12M
2023-10-06;Fri;;;5.45555;;5.66835;5.88272;
2023-10-05;Thu;;;5.45046;;5.66781;5.89089;
2023-10-04;Wed;;;5.44488;;5.68401;5.92158;
2023-10-03;Tue;;;5.44199;;5.6759;5.91399;
2023-10-02;Mon;;;5.43856;;5.64976;5.88086;
2023-09-29;Fri;;;5.43347;;5.65711;5.89553;
2023-09-28;Thu;;;5.42907;;5.65643;5.89919;
2023-09-27;Wed;;;5.43056;;5.65169;5.89575;
2023-09-26;Tue;;;5.43291;;5.64719;5.89153;
2023-09-25;Mon;;;5.43193;;5.65273;5.89752;
2023-09-22;Fri;;;5.43199;;5.66142;5.90777;
2023-09-21;Thu;;;5.4342;;5.6617;5.90109;
2023-09-20;Wed;;;5.43793;;5.65774;5.89731;
2023-09-19;Tue;;;5.43857;;5.65863;5.89683;
2023-09-18;Mon;;;5.43932;;5.65946;5.89432;
2023-09-15;Fri;;;5.44156;;5.66329;5.8941;
2023-09-14;Thu;;;5.44505;;5.6717;5.90593;
2023-09-13;Wed;;;5.44668;;5.67104;5.90176;
2023-09-12;Tue;;;5.44804;;5.66983;5.89947;
2023-09-11;Mon;;;5.44281;;5.66686;5.89111;
2023-09-08;Fri;;;5.44394;;5.67208;5.90023;
2023-09-07;Thu;;;5.44381;;5.6726;5.90427;
2023-09-06;Wed;;;5.44132;;5.65934;5.88098;
2023-09-05;Tue;;;5.4421;;5.65269;5.86038;
2023-09-04;Mon;;;5.44335;;5.66391;5.8815;
2023-09-01;Fri;;;5.44335;;5.66391;5.8815;
2023-08-31;Thu;;;5.44189;;5.66283;5.88316;
2023-08-30;Wed;;;5.44416;;5.67121;5.90353;
2023-08-29;Tue;;;5.44554;;5.68406;5.92924;
2023-08-25;Fri;;;5.44331;;5.6655;5.89557;
2023-08-24;Thu;;;5.43472;;5.64951;5.87327;
2023-08-23;Wed;;;5.42943;;5.65266;5.88595;
2023-08-22;Tue;;;5.42978;;5.64468;5.87516;
2023-08-21;Mon;;;5.43226;;5.63895;5.85728;
2023-08-18;Fri;;;5.42875;;5.64478;5.8728;
2023-08-17;Thu;;;5.42846;;5.64137;5.86938;
2023-08-16;Wed;;;5.42643;;5.64084;5.87012;
2023-08-15;Tue;;;5.42824;;5.63809;5.87298;
2023-08-14;Mon;;;5.42709;;5.63344;5.86022;
2023-08-11;Fri;;;5.42496;;5.62618;5.84334;
2023-08-10;Thu;;;5.42695;;5.63076;5.84966;
2023-08-09;Wed;;;5.42694;;5.62839;5.84923;
2023-08-08;Tue;;;5.42688;;5.62689;5.85409;
2023-08-07;Mon;;;5.43031;;5.62904;5.85581;
2023-08-04;Fri;;;5.43172;;5.63219;5.86245;
2023-08-03;Thu;;;5.43088;;5.63146;5.86133;
2023-08-02;Wed;;;5.43162;;5.63102;5.86299;
2023-08-01;Tue;;;5.43243;;5.62796;5.8614;
2023-07-31;Mon;;;5.43232;;5.62693;5.86139;
2023-07-28;Fri;;;5.43258;;5.63352;5.87626;
2023-07-27;Thu;;;5.43313;;5.63073;5.88109;
2023-07-26;Wed;;;5.43185;;5.6272;5.87352;
2023-07-25;Tue;;;5.43;;5.61897;5.85951;
2023-07-24;Mon;;;5.41986;;5.61225;5.84982;
2023-07-21;Fri;;;5.41247;;5.61282;5.85669;
2023-07-20;Thu;;;5.40582;;5.60718;5.84086;
2023-07-19;Wed;;;5.37805;;5.59513;5.8274;
2023-07-18;Tue;;;5.36905;;5.58775;5.8287;
2023-07-17;Mon;;;5.36059;;5.58173;5.82461;
2023-07-14;Fri;;;5.34442;;5.5715;5.8038;
2023-07-13;Thu;;;5.33612;;5.56957;5.82106;
2023-07-12;Wed;;;5.3167;;5.57266;5.83932;
2023-07-11;Tue;;;5.31091;;5.5627;5.83069;
2023-07-10;Mon;;;5.30834;;5.56111;5.83165;
2023-07-07;Fri;;;5.29149;;5.56008;5.84326;
2023-07-06;Thu;;;5.27927;;5.54251;5.80972;
2023-07-05;Wed;;;5.25981;;5.53837;5.81;
2023-07-04;Tue;;;5.25688;;5.53035;5.80913;
2023-07-03;Mon;;;5.25688;;5.53035;5.80913;
2023-06-30;Fri;5.06157;;5.21771;;5.54543;5.76229;6.04143
2023-06-29;Thu;5.05129;;5.205;;5.53343;5.73957;5.96014
2023-06-28;Wed;5.06614;;5.193;;5.53786;5.731;5.94329
2023-06-27;Tue;5.06386;;5.19171;;5.52871;5.71971;5.91429
2023-06-26;Mon;5.063;;5.17786;;5.521;5.67357;5.88471
2023-06-23;Fri;5.06757;;5.14843;;5.54414;5.69029;5.92529
2023-06-22;Thu;5.069;;5.15043;;5.54186;5.68257;5.90114
2023-06-21;Wed;5.06271;;5.14757;;5.53957;5.68243;5.89857
2023-06-20;Tue;5.07529;;5.15414;;5.52029;5.674;5.89786
2023-06-19;Mon;;;5.16271;;5.51429;5.65643;5.89514
2023-06-16;Fri;5.06514;;5.15657;;5.51;5.666;5.877
2023-06-15;Thu;5.07614;;5.14629;;5.51371;5.62843;5.87886
2023-06-14;Wed;5.06543;;5.15814;;5.50843;5.65143;5.81886
2023-06-13;Tue;5.06886;;5.19329;;5.552;5.65043;5.80343
2023-06-12;Mon;5.06871;;5.218;;5.55743;5.63943;5.81186
2023-06-09;Fri;5.06671;;5.21929;;5.54443;5.65971;5.78386
2023-06-08;Thu;5.06929;;5.22243;;5.53971;5.65657;5.788
2023-06-07;Wed;5.06614;;5.18171;;5.50986;5.64357;5.74629
2023-06-06;Tue;5.06871;;5.20114;;5.51329;5.64457;5.74414
2023-06-05;Mon;5.06471;;5.19057;;5.50914;5.66329;5.77957
2023-06-02;Fri;5.06557;;5.18857;;5.49629;5.62343;5.65729
2023-06-01;Thu;5.06471;;5.163;;5.49857;5.64743;5.72543
2023-05-31;Wed;5.06371;;5.193;;5.51671;5.64571;5.71557
2023-05-30;Tue;5.06557;;5.17043;;5.496;5.61857;5.73029
2023-05-26;Fri;5.06543;;5.15371;;5.47571;5.581;5.66029
2023-05-25;Thu;5.06286;;5.16;;5.46314;5.56414;5.62257
2023-05-24;Wed;5.06186;;5.14086;;5.42443;5.53214;5.53371
2023-05-23;Tue;5.06614;;5.138;;5.39586;5.50429;5.52214
2023-05-22;Mon;5.06214;;5.12686;;5.37471;5.45486;5.431
2023-05-19;Fri;5.06529;;5.13971;;5.39271;5.46657;5.44457
2023-05-18;Thu;5.06057;;5.14843;;5.37914;5.42514;5.39243
2023-05-17;Wed;5.06043;;5.13243;;5.369;5.39886;5.34571
2023-05-16;Tue;5.06186;;5.11129;;5.34514;5.37914;5.27814
2023-05-15;Mon;5.06229;;5.10771;;5.33043;5.38314;5.30343
2023-05-12;Fri;5.06143;;5.10543;;5.31829;5.34314;5.256
2023-05-11;Thu;5.06171;;5.10743;;5.32071;5.34871;5.26586
2023-05-10;Wed;5.06029;;5.108;;5.34243;5.39843;5.35286
2023-05-09;Tue;5.06143;;5.10571;;5.33914;5.38986;5.298
2023-05-05;Fri;5.05986;;5.10443;;5.33686;5.35286;5.19971
2023-05-04;Thu;5.05871;;5.09871;;5.32371;5.391;5.26014
2023-05-03;Wed;4.81086;;5.08157;;5.32629;5.39443;5.29957
2023-05-02;Tue;4.81486;;5.09386;;5.33629;5.43286;5.43529
2023-04-28;Fri;4.811;;5.06214;;5.30243;5.407;5.36629
2023-04-27;Thu;4.81014;;5.03414;;5.29914;5.38686;5.32143
2023-04-26;Wed;4.79571;;5.02457;;5.27271;5.37186;5.28857
2023-04-25;Tue;4.80071;;5.01771;;5.29157;5.40586;5.373
2023-04-24;Mon;4.80771;;5.01614;;5.26814;5.434;5.42771
