Date;Price
12-7-2023;2.642
11-7-2023;2.731
10-7-2023;2.669
7-7-2023;2.582
6-7-2023;2.609
5-7-2023;2.657
3-7-2023;2.709
30-6-2023;2.798
29-6-2023;2.701
28-6-2023;2.603
27-6-2023;2.763
26-6-2023;2.791
23-6-2023;2.729
22-6-2023;2.608
21-6-2023;2.597
20-6-2023;2.492
16-6-2023;2.632
15-6-2023;2.533
14-6-2023;2.342
13-6-2023;2.34
12-6-2023;2.266
9-6-2023;2.254
8-6-2023;2.352
7-6-2023;2.329
6-6-2023;2.262
5-6-2023;2.245
2-6-2023;2.172
1-6-2023;2.158
31-5-2023;2.266
30-5-2023;2.327
26-5-2023;2.181
25-5-2023;2.307
24-5-2023;2.398
23-5-2023;2.321
22-5-2023;2.4
19-5-2023;2.585
18-5-2023;2.592
17-5-2023;2.365
16-5-2023;2.376
15-5-2023;2.375
12-5-2023;2.266
11-5-2023;2.19
10-5-2023;2.191
9-5-2023;2.267
8-5-2023;2.238
5-5-2023;2.137
4-5-2023;2.101
3-5-2023;2.17
2-5-2023;2.214
1-5-2023;2.318
28-4-2023;2.41
27-4-2023;2.355
26-4-2023;2.117
25-4-2023;2.307
24-4-2023;2.273
21-4-2023;2.233
20-4-2023;2.249
19-4-2023;2.222
18-4-2023;2.366
17-4-2023;2.275
14-4-2023;2.114
13-4-2023;2.007
12-4-2023;2.093
11-4-2023;2.186
10-4-2023;2.172
6-4-2023;2.011
5-4-2023;2.155
4-4-2023;2.106
3-4-2023;2.097
31-3-2023;2.216
30-3-2023;2.104
29-3-2023;1.991
28-3-2023;2.03
27-3-2023;2.088
24-3-2023;2.216
23-3-2023;2.154
22-3-2023;2.171
21-3-2023;2.348
20-3-2023;2.223
17-3-2023;2.338
16-3-2023;2.514
15-3-2023;2.439
14-3-2023;2.573
13-3-2023;2.606
10-3-2023;2.43
9-3-2023;2.543
8-3-2023;2.551
7-3-2023;2.687
6-3-2023;2.572
3-3-2023;3.009
2-3-2023;2.765
1-3-2023;2.811
28-2-2023;2.747
27-2-2023;2.731
24-2-2023;2.451
23-2-2023;2.314
22-2-2023;2.174
21-2-2023;2.073
17-2-2023;2.275
16-2-2023;2.389
15-2-2023;2.471
14-2-2023;2.567
13-2-2023;2.405
10-2-2023;2.514
9-2-2023;2.43
8-2-2023;2.396
7-2-2023;2.584
6-2-2023;2.457
3-2-2023;2.41
2-2-2023;2.456
1-2-2023;2.468
31-1-2023;2.684
30-1-2023;2.677
27-1-2023;3.109
26-1-2023;2.944
25-1-2023;3.067
24-1-2023;3.258
23-1-2023;3.447
20-1-2023;3.174
19-1-2023;3.275
18-1-2023;3.311
17-1-2023;3.586
13-1-2023;3.419
12-1-2023;3.695
11-1-2023;3.671
10-1-2023;3.639
9-1-2023;3.91
6-1-2023;3.71
5-1-2023;3.72
4-1-2023;4.172
3-1-2023;3.988
30-12-2022;4.475
29-12-2022;4.559
28-12-2022;4.709
27-12-2022;5.282
23-12-2022;5.079
22-12-2022;4.999
21-12-2022;5.332
20-12-2022;5.326
19-12-2022;5.851
16-12-2022;6.6
15-12-2022;6.97
14-12-2022;6.43
13-12-2022;6.935
12-12-2022;6.587
9-12-2022;6.245
8-12-2022;5.962
7-12-2022;5.723
6-12-2022;5.469
5-12-2022;5.577
2-12-2022;6.281
1-12-2022;6.738
30-11-2022;6.93
29-11-2022;7.235
28-11-2022;6.712
25-11-2022;7.024
23-11-2022;7.308
22-11-2022;6.779
21-11-2022;6.776
18-11-2022;6.303
17-11-2022;6.369
16-11-2022;6.2
15-11-2022;6.034
14-11-2022;5.933
11-11-2022;5.879
10-11-2022;6.239
9-11-2022;5.865
8-11-2022;6.138
7-11-2022;6.944
4-11-2022;6.4
3-11-2022;5.975
2-11-2022;6.268
1-11-2022;5.714
31-10-2022;6.355
28-10-2022;5.684
27-10-2022;5.186
26-10-2022;5.606
25-10-2022;5.613
24-10-2022;5.199
21-10-2022;4.959
20-10-2022;5.358
19-10-2022;5.462
18-10-2022;5.745
17-10-2022;5.999
14-10-2022;6.453
13-10-2022;6.741
12-10-2022;6.435
11-10-2022;6.596
10-10-2022;6.435
7-10-2022;6.748
6-10-2022;6.972
5-10-2022;6.93
4-10-2022;6.837
3-10-2022;6.47
30-9-2022;6.766
29-9-2022;6.874
28-9-2022;6.868
27-9-2022;6.651
26-9-2022;6.903
23-9-2022;6.828
22-9-2022;7.089
21-9-2022;7.779
20-9-2022;7.717
19-9-2022;7.752
16-9-2022;7.764
15-9-2022;8.324
14-9-2022;9.114
13-9-2022;8.284
12-9-2022;8.249
9-9-2022;7.996
8-9-2022;7.915
7-9-2022;7.842
6-9-2022;8.145
2-9-2022;8.786
1-9-2022;9.262
31-8-2022;9.127
30-8-2022;9.042
29-8-2022;9.353
26-8-2022;9.296
25-8-2022;9.375
24-8-2022;9.33
23-8-2022;9.193
22-8-2022;9.68
19-8-2022;9.336
18-8-2022;9.188
17-8-2022;9.244
16-8-2022;9.329
15-8-2022;8.728
