Date;Price
12-7-2023;24.01
11-7-2023;23.086
10-7-2023;23.151
7-7-2023;23.092
6-7-2023;22.686
5-7-2023;23.197
3-7-2023;22.896
30-6-2023;22.81
29-6-2023;22.591
28-6-2023;22.868
27-6-2023;22.939
26-6-2023;22.805
23-6-2023;22.328
22-6-2023;22.436
21-6-2023;22.774
20-6-2023;23.193
16-6-2023;24.076
15-6-2023;23.891
14-6-2023;24.044
13-6-2023;23.756
12-6-2023;23.985
9-6-2023;24.334
8-6-2023;24.264
7-6-2023;23.439
6-6-2023;23.574
5-6-2023;23.534
2-6-2023;23.643
1-6-2023;23.875
31-5-2023;23.474
30-5-2023;23.125
26-5-2023;23.24
25-5-2023;22.786
24-5-2023;23.115
23-5-2023;23.474
22-5-2023;23.715
19-5-2023;23.92
18-5-2023;23.495
17-5-2023;23.752
16-5-2023;23.737
15-5-2023;24.127
12-5-2023;23.992
11-5-2023;24.255
10-5-2023;25.461
9-5-2023;25.698
8-5-2023;25.636
5-5-2023;25.743
4-5-2023;26.035
3-5-2023;25.476
2-5-2023;25.404
1-5-2023;25.009
28-4-2023;24.999
27-4-2023;24.983
26-4-2023;24.871
25-4-2023;24.877
24-4-2023;25.306
21-4-2023;25.053
20-4-2023;25.368
19-4-2023;25.366
18-4-2023;25.248
17-4-2023;25.053
14-4-2023;25.424
13-4-2023;25.874
12-4-2023;25.404
11-4-2023;25.131
10-4-2023;24.846
6-4-2023;25.025
5-4-2023;24.963
4-4-2023;25.022
3-4-2023;23.941
31-3-2023;24.076
30-3-2023;23.902
29-3-2023;23.376
28-3-2023;23.324
27-3-2023;23.054
24-3-2023;23.247
23-3-2023;23.144
22-3-2023;22.675
21-3-2023;22.324
20-3-2023;22.533
17-3-2023;22.351
16-3-2023;21.588
15-3-2023;21.774
14-3-2023;21.929
13-3-2023;21.793
10-3-2023;20.375
9-3-2023;20.025
8-3-2023;20.005
7-3-2023;20.054
6-3-2023;20.984
3-3-2023;21.093
2-3-2023;20.766
1-3-2023;20.959
28-2-2023;20.961
27-2-2023;20.67
24-2-2023;20.806
23-2-2023;21.299
22-2-2023;21.661
21-2-2023;21.869
17-2-2023;21.694
16-2-2023;21.684
15-2-2023;21.546
14-2-2023;21.842
13-2-2023;21.818
10-2-2023;22.034
9-2-2023;22.097
8-2-2023;22.367
7-2-2023;22.117
6-2-2023;22.177
3-2-2023;22.334
2-2-2023;23.534
1-2-2023;23.521
31-1-2023;23.748
30-1-2023;23.645
27-1-2023;23.527
26-1-2023;23.93
25-1-2023;23.839
24-1-2023;23.649
23-1-2023;23.452
20-1-2023;23.83
19-1-2023;23.754
18-1-2023;23.53
17-1-2023;23.944
13-1-2023;24.231
12-1-2023;23.863
11-1-2023;23.327
10-1-2023;23.507
9-1-2023;23.712
6-1-2023;23.822
5-1-2023;23.258
4-1-2023;23.792
3-1-2023;24.059
30-12-2022;23.862
29-12-2022;24.078
28-12-2022;23.663
27-12-2022;24.04
23-12-2022;23.764
22-12-2022;23.476
21-12-2022;24.035
20-12-2022;24.094
19-12-2022;23.029
16-12-2022;23.151
15-12-2022;23.128
14-12-2022;23.946
13-12-2022;23.801
12-12-2022;23.22
9-12-2022;23.535
8-12-2022;23.063
7-12-2022;22.71
6-12-2022;22.123
5-12-2022;22.199
2-12-2022;23.038
1-12-2022;22.637
30-11-2022;21.55
29-11-2022;21.204
28-11-2022;20.91
25-11-2022;21.425
23-11-2022;21.357
22-11-2022;21.034
21-11-2022;20.849
18-11-2022;20.976
17-11-2022;20.955
16-11-2022;21.504
15-11-2022;21.499
14-11-2022;22.092
11-11-2022;21.646
10-11-2022;21.677
9-11-2022;21.298
8-11-2022;21.477
7-11-2022;20.898
4-11-2022;20.79
3-11-2022;19.436
2-11-2022;19.6
1-11-2022;19.673
31-10-2022;19.125
28-10-2022;19.147
27-10-2022;19.478
26-10-2022;19.48
25-10-2022;19.339
24-10-2022;19.174
21-10-2022;19.043
20-10-2022;18.666
19-10-2022;18.336
18-10-2022;18.571
17-10-2022;18.674
14-10-2022;18.015
13-10-2022;18.858
12-10-2022;18.878
11-10-2022;19.427
10-10-2022;19.556
7-10-2022;20.192
6-10-2022;20.595
5-10-2022;20.479
4-10-2022;21.037
3-10-2022;20.519
30-9-2022;18.96
29-9-2022;18.611
28-9-2022;18.796
27-9-2022;18.257
26-9-2022;18.406
23-9-2022;18.841
22-9-2022;19.548
21-9-2022;19.411
20-9-2022;19.102
19-9-2022;19.273
16-9-2022;19.296
15-9-2022;19.175
14-9-2022;19.471
13-9-2022;19.39
12-9-2022;19.755
9-9-2022;18.658
8-9-2022;18.33
7-9-2022;18.137
6-9-2022;17.795
2-9-2022;17.776
1-9-2022;17.551
31-8-2022;17.762
30-8-2022;18.159
29-8-2022;18.555
26-8-2022;18.74
25-8-2022;19.111
24-8-2022;18.895
23-8-2022;19.012
22-8-2022;18.873
19-8-2022;19.058
18-8-2022;19.448
17-8-2022;19.711
16-8-2022;20.065
15-8-2022;20.251
12-8-2022;20.677
11-8-2022;20.326
10-8-2022;20.718
9-8-2022;20.458
8-8-2022;20.592
5-8-2022;19.819
4-8-2022;20.099
3-8-2022;19.865
2-8-2022;20.105
1-8-2022;20.322
29-7-2022;20.156
28-7-2022;19.827
27-7-2022;18.553
26-7-2022;18.487
25-7-2022;18.294
22-7-2022;18.585
21-7-2022;18.687
20-7-2022;18.639
19-7-2022;18.67
18-7-2022;18.791
15-7-2022;18.548
14-7-2022;18.169
13-7-2022;19.138
12-7-2022;18.899
11-7-2022;19.067
8-7-2022;19.167
7-7-2022;19.122
6-7-2022;19.085
5-7-2022;19.052
1-7-2022;19.597
30-6-2022;20.282
29-6-2022;20.668
28-6-2022;20.797
27-6-2022;21.159
24-6-2022;21.116
23-6-2022;21.032
22-6-2022;21.407
21-6-2022;21.754
17-6-2022;21.573
16-6-2022;21.867
15-6-2022;21.402
14-6-2022;20.936
13-6-2022;21.236
