Date;Price
12-7-2023;629.5
11-7-2023;649.5
10-7-2023;636.25
7-7-2023;639.5
6-7-2023;647
5-7-2023;662
3-7-2023;628.5
30-6-2023;636.25
29-6-2023;653
28-6-2023;655.75
27-6-2023;685
26-6-2023;724.25
23-6-2023;733.25
22-6-2023;739
21-6-2023;734.5
20-6-2023;695.75
16-6-2023;688
15-6-2023;661.5
14-6-2023;630.25
13-6-2023;636.25
12-6-2023;633.75
9-6-2023;630.25
8-6-2023;626.25
7-6-2023;616.75
6-6-2023;627.75
5-6-2023;624
2-6-2023;619
1-6-2023;610.75
31-5-2023;594.25
30-5-2023;591
26-5-2023;616
25-5-2023;604.25
24-5-2023;606.25
23-5-2023;622.25
22-5-2023;606.25
19-5-2023;605
18-5-2023;611.75
17-5-2023;625.5
16-5-2023;647.5
15-5-2023;660.75
12-5-2023;624.5
11-5-2023;614.25
10-5-2023;628.25
9-5-2023;630.5
8-5-2023;641
5-5-2023;647
4-5-2023;631.5
3-5-2023;626.25
2-5-2023;595.5
1-5-2023;603.75
28-4-2023;619.75
27-4-2023;614.75
26-4-2023;627.25
25-4-2023;638.75
24-4-2023;643.5
21-4-2023;661.75
20-4-2023;667.75
19-4-2023;681.75
18-4-2023;698
17-4-2023;696.5
14-4-2023;682.5
13-4-2023;667
12-4-2023;679.5
11-4-2023;674
10-4-2023;678.5
7-4-2023;675.5
6-4-2023;675.5
5-4-2023;682
4-4-2023;691.5
3-4-2023;693.5
31-3-2023;692.25
30-3-2023;692.25
29-3-2023;704.75
28-3-2023;699.75
27-3-2023;698
24-3-2023;688.5
23-3-2023;662
22-3-2023;663.5
21-3-2023;683.25
20-3-2023;700.75
17-3-2023;710.5
16-3-2023;699
15-3-2023;702.75
14-3-2023;686.5
13-3-2023;672.25
10-3-2023;666.75
9-3-2023;653.5
8-3-2023;674.5
7-3-2023;684.75
6-3-2023;682.5
3-3-2023;695.75
2-3-2023;701.25
1-3-2023;697
28-2-2023;691.5
27-2-2023;696
24-2-2023;708.25
23-2-2023;738.25
22-2-2023;736.5
21-2-2023;750.5
17-2-2023;765.5
16-2-2023;765
15-2-2023;769.25
14-2-2023;786
13-2-2023;792
10-2-2023;786
9-2-2023;757.25
8-2-2023;764.75
7-2-2023;749.75
6-2-2023;750.25
3-2-2023;756.75
2-2-2023;761
1-2-2023;759.75
31-1-2023;761.25
30-1-2023;752.5
27-1-2023;750
26-1-2023;752.5
25-1-2023;741.25
24-1-2023;734.5
23-1-2023;720
20-1-2023;741.5
19-1-2023;734.5
18-1-2023;742.5
17-1-2023;751.75
13-1-2023;743.75
12-1-2023;742.75
11-1-2023;740
10-1-2023;731
9-1-2023;741.5
6-1-2023;743.5
5-1-2023;746.75
4-1-2023;745.5
3-1-2023;775.5
30-12-2022;792
29-12-2022;774
28-12-2022;785.5
27-12-2022;774.5
23-12-2022;776
22-12-2022;762.25
21-12-2022;767.75
20-12-2022;750.5
19-12-2022;748.5
16-12-2022;753.5
15-12-2022;757.25
14-12-2022;728.25
13-12-2022;728.75
12-12-2022;733
9-12-2022;712.75
8-12-2022;724.25
7-12-2022;727
6-12-2022;705.5
5-12-2022;715.5
2-12-2022;737.25
1-12-2022;758.75
30-11-2022;771.5
29-11-2022;757.75
28-11-2022;756.75
25-11-2022;775.5
23-11-2022;793.5
22-11-2022;791.5
21-11-2022;799.25
18-11-2022;803.25
17-11-2022;806.75
16-11-2022;817.5
15-11-2022;828.25
14-11-2022;818.5
11-11-2022;813.75
10-11-2022;803.5
9-11-2022;806.5
8-11-2022;827.75
7-11-2022;845.75
4-11-2022;847.75
3-11-2022;840.5
2-11-2022;846
1-11-2022;902.5
31-10-2022;882.25
28-10-2022;829.25
27-10-2022;838.5
26-10-2022;840.5
25-10-2022;834.75
24-10-2022;838.75
21-10-2022;850.75
20-10-2022;849.25
19-10-2022;841.25
18-10-2022;849.5
17-10-2022;861
14-10-2022;859.75
13-10-2022;892.25
12-10-2022;882.25
11-10-2022;901
10-10-2022;938
7-10-2022;880.25
6-10-2022;879
5-10-2022;902
4-10-2022;903
3-10-2022;912
30-9-2022;921.5
29-9-2022;896.25
28-9-2022;903.25
27-9-2022;871.5
26-9-2022;858
23-9-2022;880.5
22-9-2022;910.75
