Date;cadusd
4-1-1971;1.0109
5-1-1971;1.0102
6-1-1971;1.0106
7-1-1971;1.0148
8-1-1971;1.0154
11-1-1971;1.0159
12-1-1971;1.013
13-1-1971;1.0122
14-1-1971;1.0133
15-1-1971;1.0135
18-1-1971;1.0126
19-1-1971;1.0111
20-1-1971;1.0115
21-1-1971;1.0109
22-1-1971;1.0117
25-1-1971;1.0111
26-1-1971;1.0107
27-1-1971;1.0101
28-1-1971;1.009
29-1-1971;1.008
1-2-1971;1.0076
2-2-1971;1.0087
3-2-1971;1.0085
4-2-1971;1.0078
5-2-1971;1.0078
8-2-1971;1.0083
9-2-1971;1.0083
10-2-1971;1.0086
11-2-1971;1.0086
16-2-1971;1.0084
17-2-1971;1.0087
18-2-1971;1.0076
19-2-1971;1.0066
22-2-1971;1.0043
23-2-1971;1.0035
24-2-1971;1.0075
25-2-1971;1.0066
26-2-1971;1.007
1-3-1971;1.0076
2-3-1971;1.0071
3-3-1971;1.0073
4-3-1971;1.0064
5-3-1971;1.0047
8-3-1971;1.003
9-3-1971;1.004
10-3-1971;1.0036
11-3-1971;1.0049
12-3-1971;1.0056
15-3-1971;1.0059
16-3-1971;1.0052
17-3-1971;1.0056
18-3-1971;1.0065
19-3-1971;1.0077
22-3-1971;1.0079
23-3-1971;1.0078
24-3-1971;1.0076
25-3-1971;1.007
26-3-1971;1.0074
29-3-1971;1.0075
30-3-1971;1.0082
31-3-1971;1.0081
1-4-1971;1.0076
2-4-1971;1.0073
5-4-1971;1.0071
6-4-1971;1.0062
7-4-1971;1.0069
8-4-1971;1.0071
9-4-1971;1.0068
12-4-1971;1.0069
13-4-1971;1.0076
14-4-1971;1.0081
15-4-1971;1.0075
16-4-1971;1.0068
19-4-1971;1.0073
20-4-1971;1.0075
21-4-1971;1.0073
22-4-1971;1.0076
23-4-1971;1.0085
26-4-1971;1.0092
27-4-1971;1.0095
28-4-1971;1.0089
29-4-1971;1.0086
30-4-1971;1.0091
3-5-1971;1.0089
4-5-1971;1.009
5-5-1971;1.0074
6-5-1971;1.0074
7-5-1971;1.0069
10-5-1971;1.0084
11-5-1971;1.0084
12-5-1971;1.0083
13-5-1971;1.0089
14-5-1971;1.0089
17-5-1971;1.0089
18-5-1971;1.0089
19-5-1971;1.0095
20-5-1971;1.0093
21-5-1971;1.0092
24-5-1971;1.009
25-5-1971;1.0091
26-5-1971;1.0086
27-5-1971;1.0093
28-5-1971;1.0101
1-6-1971;1.0126
2-6-1971;1.0134
3-6-1971;1.0185
4-6-1971;1.0174
7-6-1971;1.0161
8-6-1971;1.0179
9-6-1971;1.0186
10-6-1971;1.0239
11-6-1971;1.0239
14-6-1971;1.0232
15-6-1971;1.0248
16-6-1971;1.0244
17-6-1971;1.0242
18-6-1971;1.0225
21-6-1971;1.0242
22-6-1971;1.0243
23-6-1971;1.0234
24-6-1971;1.0242
25-6-1971;1.0233
28-6-1971;1.0221
29-6-1971;1.023
30-6-1971;1.0235
1-7-1971;1.0232
2-7-1971;1.0226
6-7-1971;1.023
7-7-1971;1.0233
8-7-1971;1.023
9-7-1971;1.023
12-7-1971;1.0231
13-7-1971;1.0231
14-7-1971;1.023
15-7-1971;1.0227
16-7-1971;1.0228
19-7-1971;1.0222
20-7-1971;1.0203
21-7-1971;1.02
22-7-1971;1.0175
23-7-1971;1.0151
26-7-1971;1.0176
27-7-1971;1.0205
28-7-1971;1.0221
29-7-1971;1.0207
30-7-1971;1.0188
2-8-1971;1.0193
3-8-1971;1.0195
4-8-1971;1.0185
5-8-1971;1.0168
6-8-1971;1.0186
9-8-1971;1.0063
10-8-1971;1.0128
11-8-1971;1.0143
12-8-1971;1.0132
13-8-1971;1.0119
16-8-1971;1.0098
17-8-1971;1.0067
18-8-1971;1.0087
19-8-1971;1.0112
20-8-1971;1.0113
23-8-1971;1.0128
24-8-1971;1.0143
25-8-1971;1.0121
26-8-1971;1.0106
27-8-1971;1.01
30-8-1971;1.0135
31-8-1971;1.0142
1-9-1971;1.0162
2-9-1971;1.0143
3-9-1971;1.0146
7-9-1971;1.0162
8-9-1971;1.0161
9-9-1971;1.0157
10-9-1971;1.0159
13-9-1971;1.0161
14-9-1971;1.0153
15-9-1971;1.0141
16-9-1971;1.0142
17-9-1971;1.0136
20-9-1971;1.012
21-9-1971;1.0122
22-9-1971;1.0119
23-9-1971;1.0092
24-9-1971;1.0066
27-9-1971;1.0098
28-9-1971;1.0099
29-9-1971;1.0098
30-9-1971;1.0093
1-10-1971;1.0091
4-10-1971;1.0082
5-10-1971;1.0079
6-10-1971;1.0075
7-10-1971;1.0062
8-10-1971;1.0057
12-10-1971;1.0054
13-10-1971;1.0056
14-10-1971;1.0045
15-10-1971;1.0051
18-10-1971;1.0045
19-10-1971;1.0036
20-10-1971;1.0034
21-10-1971;1.0034
22-10-1971;1.0007
26-10-1971;1.0019
27-10-1971;1.0013
28-10-1971;1.0017
29-10-1971;1.0036
1-11-1971;1.0054
3-11-1971;1.0036
4-11-1971;1.0042
5-11-1971;1.0048
8-11-1971;1.0058
9-11-1971;1.006
10-11-1971;1.0053
11-11-1971;1.0048
12-11-1971;1.0045
15-11-1971;1.0038
16-11-1971;1.0034
17-11-1971;1.0037
18-11-1971;1.0036
19-11-1971;1.0027
22-11-1971;1.0027
23-11-1971;1.0027
24-11-1971;1.0026
26-11-1971;1.0027
29-11-1971;1.0027
30-11-1971;1.0036
1-12-1971;1.003
2-12-1971;1.0027
3-12-1971;1.0026
6-12-1971;1.001
7-12-1971;1.0011
8-12-1971;0.9997
9-12-1971;0.9978
10-12-1971;0.9957
13-12-1971;0.9967
14-12-1971;0.9971
15-12-1971;0.9969
16-12-1971;0.9973
17-12-1971;0.9967
20-12-1971;0.9933
21-12-1971;0.9967
22-12-1971;0.9985
23-12-1971;1.0004
24-12-1971;1.0006
27-12-1971;1.0002
28-12-1971;1.0014
29-12-1971;1.0019
30-12-1971;1.0008
31-12-1971;1.0024
3-1-1972;1.0041
4-1-1972;1.0052
5-1-1972;1.005
6-1-1972;1.005
7-1-1972;1.0068
10-1-1972;1.0093
11-1-1972;1.0085
12-1-1972;1.0076
13-1-1972;1.0071
14-1-1972;1.0061
17-1-1972;1.0045
18-1-1972;1.0065
19-1-1972;1.0061
20-1-1972;1.0065
21-1-1972;1.0063
24-1-1972;1.0056
25-1-1972;1.0046
26-1-1972;1.0046
27-1-1972;1.0045
28-1-1972;1.0046
31-1-1972;1.0056
1-2-1972;1.0063
2-2-1972;1.0058
3-2-1972;1.0057
4-2-1972;1.0058
7-2-1972;1.006
8-2-1972;1.0065
9-2-1972;1.0058
10-2-1972;1.0057
11-2-1972;1.0057
14-2-1972;1.0057
15-2-1972;1.005
16-2-1972;1.0047
17-2-1972;1.0045
18-2-1972;1.004
22-2-1972;1.0034
23-2-1972;1.0047
24-2-1972;1.0025
25-2-1972;1.0025
28-2-1972;1.0028
29-2-1972;1.0012
1-3-1972;1.001
2-3-1972;1.0006
3-3-1972;1.0004
6-3-1972;0.9974
7-3-1972;0.9971
8-3-1972;0.9969
9-3-1972;0.9962
10-3-1972;0.9971
13-3-1972;0.9989
14-3-1972;1.0003
15-3-1972;1.0011
16-3-1972;1.0006
17-3-1972;1.0008
20-3-1972;0.9996
21-3-1972;0.9973
22-3-1972;0.9978
23-3-1972;0.999
24-3-1972;0.9987
27-3-1972;0.9966
28-3-1972;0.9961
29-3-1972;0.9966
30-3-1972;0.9972
31-3-1972;0.9977
3-4-1972;0.9983
4-4-1972;0.9979
5-4-1972;0.9969
6-4-1972;0.9964
7-4-1972;0.997
10-4-1972;0.997
11-4-1972;0.9969
12-4-1972;0.997
13-4-1972;0.9968
14-4-1972;0.9972
17-4-1972;0.9967
18-4-1972;0.997
19-4-1972;0.9969
20-4-1972;0.9961
21-4-1972;0.9945
24-4-1972;0.9933
25-4-1972;0.992
26-4-1972;0.9917
27-4-1972;0.9923
28-4-1972;0.9924
1-5-1972;0.9935
2-5-1972;0.9931
3-5-1972;0.992
4-5-1972;0.992
5-5-1972;0.9921
8-5-1972;0.9922
9-5-1972;0.9917
10-5-1972;0.991
11-5-1972;0.9896
12-5-1972;0.9899
15-5-1972;0.9901
16-5-1972;0.9911
17-5-1972;0.9893
18-5-1972;0.9887
19-5-1972;0.9886
22-5-1972;0.9882
23-5-1972;0.9876
24-5-1972;0.9838
25-5-1972;0.9839
26-5-1972;0.9841
30-5-1972;0.9831
31-5-1972;0.9812
1-6-1972;0.9816
2-6-1972;0.9813
5-6-1972;0.9786
6-6-1972;0.979
7-6-1972;0.979
8-6-1972;0.9768
9-6-1972;0.9759
12-6-1972;0.9777
13-6-1972;0.9778
14-6-1972;0.9756
15-6-1972;0.9744
16-6-1972;0.9759
19-6-1972;0.9783
20-6-1972;0.9805
21-6-1972;0.9832
22-6-1972;0.9813
23-6-1972;0.9808
26-6-1972;0.9805
27-6-1972;0.981
28-6-1972;0.9815
29-6-1972;0.9835
30-6-1972;0.9856
3-7-1972;0.9846
5-7-1972;0.9836
6-7-1972;0.9843
7-7-1972;0.9855
10-7-1972;0.9853
11-7-1972;0.9844
12-7-1972;0.9834
13-7-1972;0.9835
14-7-1972;0.9828
17-7-1972;0.9848
18-7-1972;0.9836
19-7-1972;0.9835
20-7-1972;0.9833
21-7-1972;0.9843
24-7-1972;0.9848
25-7-1972;0.9847
26-7-1972;0.9835
27-7-1972;0.983
28-7-1972;0.9827
31-7-1972;0.9834
1-8-1972;0.9833
2-8-1972;0.9832
3-8-1972;0.9824
4-8-1972;0.9821
7-8-1972;0.9822
8-8-1972;0.982
9-8-1972;0.9819
10-8-1972;0.9815
11-8-1972;0.9818
14-8-1972;0.9818
15-8-1972;0.9816
16-8-1972;0.9819
17-8-1972;0.982
18-8-1972;0.9822
21-8-1972;0.9828
22-8-1972;0.9834
23-8-1972;0.9827
24-8-1972;0.9826
25-8-1972;0.9827
28-8-1972;0.9823
29-8-1972;0.9825
30-8-1972;0.9833
31-8-1972;0.9832
1-9-1972;0.9833
5-9-1972;0.9836
6-9-1972;0.9839
7-9-1972;0.9836
8-9-1972;0.984
11-9-1972;0.9843
12-9-1972;0.9838
13-9-1972;0.983
14-9-1972;0.9828
15-9-1972;0.9818
18-9-1972;0.9816
19-9-1972;0.9821
20-9-1972;0.9828
21-9-1972;0.9821
22-9-1972;0.9822
25-9-1972;0.9821
26-9-1972;0.9826
27-9-1972;0.9832
28-9-1972;0.9838
29-9-1972;0.9835
2-10-1972;0.9842
3-10-1972;0.984
4-10-1972;0.9833
5-10-1972;0.9834
6-10-1972;0.9837
10-10-1972;0.9825
11-10-1972;0.9825
12-10-1972;0.9825
13-10-1972;0.9819
16-10-1972;0.9821
17-10-1972;0.982
18-10-1972;0.983
19-10-1972;0.9825
20-10-1972;0.9825
24-10-1972;0.9825
25-10-1972;0.9821
26-10-1972;0.9821
27-10-1972;0.9822
30-10-1972;0.9825
31-10-1972;0.9832
1-11-1972;0.9843
2-11-1972;0.9859
3-11-1972;0.9866
6-11-1972;0.9867
8-11-1972;0.9866
9-11-1972;0.9865
10-11-1972;0.9862
13-11-1972;0.9857
14-11-1972;0.986
15-11-1972;0.986
16-11-1972;0.9859
17-11-1972;0.9861
20-11-1972;0.9863
21-11-1972;0.9869
22-11-1972;0.9869
24-11-1972;0.9876
27-11-1972;0.9886
28-11-1972;0.9909
29-11-1972;0.9934
30-11-1972;0.9945
1-12-1972;0.995
4-12-1972;0.9958
5-12-1972;0.9961
6-12-1972;0.9985
7-12-1972;1.0017
8-12-1972;1.0012
11-12-1972;1.0016
12-12-1972;0.9988
13-12-1972;0.9968
14-12-1972;0.9974
15-12-1972;0.997
18-12-1972;0.9971
19-12-1972;0.9961
20-12-1972;0.9933
21-12-1972;0.9923
22-12-1972;0.9944
26-12-1972;0.9963
27-12-1972;0.995
28-12-1972;0.995
29-12-1972;0.9956
2-1-1973;0.9964
3-1-1973;0.9986
4-1-1973;0.9981
5-1-1973;0.9976
8-1-1973;0.9996
9-1-1973;1.0008
10-1-1973;0.9997
11-1-1973;0.9985
12-1-1973;0.9992
15-1-1973;0.9998
16-1-1973;0.9989
17-1-1973;0.9994
18-1-1973;1
19-1-1973;1
22-1-1973;0.9995
23-1-1973;0.9996
24-1-1973;0.9994
25-1-1973;0.9993
26-1-1973;0.9993
29-1-1973;0.9995
30-1-1973;1.0002
31-1-1973;1.0009
1-2-1973;1.0003
2-2-1973;1.0004
5-2-1973;1.0012
6-2-1973;1.0015
7-2-1973;1.0019
8-2-1973;1.0003
9-2-1973;1.0002
13-2-1973;0.9941
14-2-1973;0.9887
15-2-1973;0.9906
16-2-1973;0.9924
20-2-1973;0.9919
21-2-1973;0.9923
22-2-1973;0.9911
23-2-1973;0.9915
26-2-1973;0.9942
27-2-1973;0.9947
28-2-1973;0.9942
1-3-1973;0.994
2-3-1973;0.9941
5-3-1973;0.9954
6-3-1973;0.9965
7-3-1973;0.998
8-3-1973;0.9964
9-3-1973;0.9967
12-3-1973;0.9967
13-3-1973;0.9966
14-3-1973;0.9963
15-3-1973;0.9963
16-3-1973;0.9965
19-3-1973;0.9974
20-3-1973;0.998
21-3-1973;0.9973
22-3-1973;0.9966
23-3-1973;0.9967
26-3-1973;0.9967
27-3-1973;0.9965
28-3-1973;0.9976
29-3-1973;0.9974
30-3-1973;0.9991
2-4-1973;0.9987
3-4-1973;0.9988
4-4-1973;0.999
5-4-1973;0.9992
6-4-1973;1.001
9-4-1973;0.9992
10-4-1973;0.9996
11-4-1973;0.9995
12-4-1973;1.0003
13-4-1973;0.999
16-4-1973;0.9996
17-4-1973;1.0003
18-4-1973;1.0006
19-4-1973;1.0007
20-4-1973;1.0015
23-4-1973;1.0027
24-4-1973;1.0034
25-4-1973;1.0029
26-4-1973;1.0027
27-4-1973;1.0032
30-4-1973;1.0032
1-5-1973;1.0034
2-5-1973;1.0033
3-5-1973;1.0027
4-5-1973;1.0032
7-5-1973;1.0024
8-5-1973;1.0024
9-5-1973;1.0026
10-5-1973;1.0024
11-5-1973;1.0016
14-5-1973;0.9996
15-5-1973;0.9995
16-5-1973;1.0008
17-5-1973;1.0008
18-5-1973;1.001
21-5-1973;1.0006
22-5-1973;1.0006
23-5-1973;0.9998
24-5-1973;0.9997
25-5-1973;0.9986
29-5-1973;0.9988
30-5-1973;0.9976
31-5-1973;0.9951
1-6-1973;0.996
4-6-1973;0.9966
5-6-1973;0.9977
6-6-1973;0.9981
7-6-1973;0.9986
8-6-1973;0.9981
11-6-1973;0.9978
