Date;Open;High;Low;Last;Volume;Status
2-1-1981;;;;1,5341;;1
5-1-1981;;;;1,5418;;1
6-1-1981;;;;1,5264;;1
7-1-1981;;;;1,5264;;1
8-1-1981;;;;1,5264;;1
9-1-1981;;;;1,5371;;1
12-1-1981;;;;1,5371;;1
13-1-1981;;;;1,5449;;1
14-1-1981;;;;1,5449;;1
15-1-1981;;;;1,5449;;1
16-1-1981;;;;1,5557;;1
19-1-1981;;;;1,5557;;1
20-1-1981;;;;1,5557;;1
21-1-1981;;;;1,5557;;1
22-1-1981;;;;1,551;;1
23-1-1981;;;;1,551;;1
26-1-1981;;;;1,5634;;1
27-1-1981;;;;1,5759;;1
28-1-1981;;;;1,5822;;1
29-1-1981;;;;1,5886;;1
30-1-1981;;;;1,5886;;1
2-2-1981;;;;1,6108;;1
3-2-1981;;;;1,6108;;1
4-2-1981;;;;1,6028;;1
5-2-1981;;;;1,6028;;1
6-2-1981;;;;1,6028;;1
9-2-1981;;;;1,6059;;1
10-2-1981;;;;1,6059;;1
11-2-1981;;;;1,6059;;1
13-2-1981;;;;1,6285;;1
17-2-1981;;;;1,6579;;1
18-2-1981;;;;1,6298;;1
19-2-1981;;;;1,6298;;1
20-2-1981;;;;1,6021;;1
23-2-1981;;;;1,5909;;1
24-2-1981;;;;1,6099;;1
25-2-1981;;;;1,6035;;1
26-2-1981;;;;1,6179;;1
27-2-1981;;;;1,6179;;1
2-3-1981;;;;1,6293;;1
3-3-1981;;;;1,6456;;1
4-3-1981;;;;1,6374;;1
5-3-1981;;;;1,6456;;1
6-3-1981;;;;1,6456;;1
9-3-1981;;;;1,6456;;1
10-3-1981;;;;1,6407;;1
11-3-1981;;;;1,6407;;1
12-3-1981;;;;1,6407;;1
13-3-1981;;;;1,6407;;1
16-3-1981;;;;1,6402;;1
17-3-1981;;;;1,6309;;1
18-3-1981;;;;1,6227;;1
19-3-1981;;;;1,6049;;1
20-3-1981;;;;1,6129;;1
23-3-1981;;;;1,6129;;1
24-3-1981;;;;1,6209;;1
25-3-1981;;;;1,6209;;1
26-3-1981;;;;1,6209;;1
27-3-1981;;;;1,6372;;1
30-3-1981;;;;1,6372;;1
31-3-1981;;;;1,6165;;1
1-4-1981;;;;1,6337;;1
2-4-1981;;;;1,6337;;1
3-4-1981;;;;1,6418;;1
6-4-1981;;;;1,65;;1
7-4-1981;;;;1,6599;;1
8-4-1981;;;;1,6483;;1
9-4-1981;;;;1,6483;;1
10-4-1981;;;;1,6565;;1
13-4-1981;;;;1,6565;;1
14-4-1981;;;;1,6682;;1
15-4-1981;;;;1,6682;;1
16-4-1981;;;;1,6798;;1
17-4-1981;;;;1,6798;;1
20-4-1981;;;;1,6798;;1
21-4-1981;;;;1,6798;;1
22-4-1981;;;;1,6798;;1
23-4-1981;;;;1,6798;;1
24-4-1981;;;;1,6798;;1
27-4-1981;;;;1,6798;;1
28-4-1981;;;;1,6798;;1
29-4-1981;;;;1,6798;;1
30-4-1981;;;;1,6882;;1
1-5-1981;;;;1,6882;;1
4-5-1981;;;;1,6882;;1
5-5-1981;;;;1,7085;;1
6-5-1981;;;;1,717;;1
7-5-1981;;;;1,717;;1
8-5-1981;;;;1,717;;1
11-5-1981;;;;1,717;;1
12-5-1981;;;;1,7273;;1
13-5-1981;;;;1,7273;;1
14-5-1981;;;;1,7359;;1
15-5-1981;;;;1,7359;;1
18-5-1981;;;;1,7359;;1
19-5-1981;;;;1,7359;;1
20-5-1981;;;;1,7359;;1
21-5-1981;;;;1,7272;;1
22-5-1981;;;;1,7429;;1
26-5-1981;;;;1,7392;;1
27-5-1981;;;;1,748;;1
28-5-1981;;;;1,748;;1
29-5-1981;;;;1,748;;1
1-6-1981;;;;1,748;;1
2-6-1981;;;;1,7567;;1
3-6-1981;;;;1,7567;;1
4-6-1981;;;;1,7672;;1
5-6-1981;;;;1,7813;;1
8-6-1981;;;;1,7813;;1
9-6-1981;;;;1,7813;;1
10-6-1981;;;;1,7742;;1
11-6-1981;;;;1,7813;;1
12-6-1981;;;;1,7724;;1
15-6-1981;;;;1,7512;;1
16-6-1981;;;;1,7512;;1
17-6-1981;;;;1,7512;;1
18-6-1981;;;;1,7599;;1
19-6-1981;;;;1,7599;;1
22-6-1981;;;;1,7511;;1
23-6-1981;;;;1,7511;;1
24-6-1981;;;;1,7511;;1
25-6-1981;;;;1,7511;;1
26-6-1981;;;;1,7511;;1
29-6-1981;;;;1,7511;;1
30-6-1981;;;;1,7511;;1
1-7-1981;;;;1,7511;;1
2-7-1981;;;;1,7616;;1
3-7-1981;;;;1,7616;;1
6-7-1981;;;;1,7616;;1
7-7-1981;;;;1,7686;;1
8-7-1981;;;;1,7686;;1
9-7-1981;;;;1,7686;;1
10-7-1981;;;;1,7686;;1
