Date;inrusd
2-1-1973;8.02
3-1-1973;8.02
4-1-1973;8.00
5-1-1973;8.01
8-1-1973;8.00
9-1-1973;8.00
10-1-1973;8.00
11-1-1973;8.00
12-1-1973;8.00
15-1-1973;8.00
16-1-1973;8.01
17-1-1973;8.01
18-1-1973;8.01
19-1-1973;8.00
22-1-1973;8.00
23-1-1973;8.00
24-1-1973;8.00
25-1-1973;8.00
26-1-1973;8.00
29-1-1973;8.01
30-1-1973;8.00
31-1-1973;8.00
1-2-1973;8.00
2-2-1973;8.00
5-2-1973;7.97
6-2-1973;8.00
7-2-1973;8.00
8-2-1973;8.01
9-2-1973;8.01
15-2-1973;7.58
16-2-1973;7.58
20-2-1973;7.58
21-2-1973;7.58
22-2-1973;7.58
23-2-1973;7.58
26-2-1973;7.55
27-2-1973;7.52
28-2-1973;7.52
1-3-1973;7.55
6-3-1973;7.35
7-3-1973;7.19
8-3-1973;7.25
9-3-1973;7.55
12-3-1973;7.52
13-3-1973;7.52
14-3-1973;7.94
15-3-1973;7.52
16-3-1973;7.81
19-3-1973;7.60
20-3-1973;7.58
21-3-1973;7.58
22-3-1973;7.58
23-3-1973;7.58
26-3-1973;7.58
27-3-1973;7.55
28-3-1973;7.55
29-3-1973;7.58
30-3-1973;7.55
2-4-1973;7.58
3-4-1973;7.55
4-4-1973;7.55
5-4-1973;7.55
6-4-1973;7.55
9-4-1973;7.55
10-4-1973;7.55
11-4-1973;7.52
12-4-1973;7.50
13-4-1973;7.52
16-4-1973;7.52
17-4-1973;7.55
18-4-1973;7.55
19-4-1973;7.55
20-4-1973;7.55
23-4-1973;7.55
24-4-1973;7.56
25-4-1973;7.55
26-4-1973;7.56
27-4-1973;7.58
30-4-1973;7.53
1-5-1973;7.54
2-5-1973;7.52
3-5-1973;7.55
4-5-1973;7.55
7-5-1973;7.55
8-5-1973;7.55
9-5-1973;7.52
10-5-1973;7.52
11-5-1973;7.52
14-5-1973;7.46
15-5-1973;7.46
16-5-1973;7.49
17-5-1973;7.52
18-5-1973;7.52
21-5-1973;7.52
22-5-1973;7.52
23-5-1973;7.52
24-5-1973;7.46
25-5-1973;7.41
29-5-1973;7.40
30-5-1973;7.35
31-5-1973;7.39
1-6-1973;7.25
4-6-1973;7.22
5-6-1973;7.22
6-6-1973;7.27
7-6-1973;7.25
8-6-1973;7.30
11-6-1973;7.30
12-6-1973;7.33
13-6-1973;7.33
14-6-1973;7.26
15-6-1973;7.30
18-6-1973;7.25
19-6-1973;7.25
20-6-1973;7.25
21-6-1973;7.25
22-6-1973;7.30
25-6-1973;7.27
26-6-1973;7.27
27-6-1973;7.27
28-6-1973;7.27
29-6-1973;7.30
2-7-1973;7.30
3-7-1973;7.27
5-7-1973;7.27
6-7-1973;7.30
9-7-1973;7.30
10-7-1973;7.30
11-7-1973;7.30
12-7-1973;7.25
13-7-1973;7.30
16-7-1973;7.30
17-7-1973;7.27
18-7-1973;7.27
19-7-1973;7.27
20-7-1973;7.41
23-7-1973;7.41
24-7-1973;7.46
25-7-1973;7.46
26-7-1973;7.46
27-7-1973;7.49
30-7-1973;7.49
31-7-1973;7.49
1-8-1973;7.49
2-8-1973;7.49
3-8-1973;7.49
6-8-1973;7.52
7-8-1973;7.52
8-8-1973;7.46
9-8-1973;7.49
10-8-1973;7.49
13-8-1973;7.62
14-8-1973;7.58
15-8-1973;7.60
16-8-1973;7.58
17-8-1973;7.66
20-8-1973;7.66
21-8-1973;7.66
22-8-1973;7.60
23-8-1973;7.60
24-8-1973;7.60
27-8-1973;7.58
28-8-1973;7.58
29-8-1973;7.55
30-8-1973;7.58
31-8-1973;7.58
4-9-1973;7.58
5-9-1973;7.55
6-9-1973;7.58
7-9-1973;7.58
10-9-1973;7.60
11-9-1973;7.60
12-9-1973;7.75
13-9-1973;7.78
14-9-1973;7.78
17-9-1973;7.75
