Date;Last
4-1-1971;357.73
5-1-1971;357.81
6-1-1971;357.86
7-1-1971;357.87
8-1-1971;357.82
11-1-1971;357.95
12-1-1971;358.06
13-1-1971;358.44
14-1-1971;358.4
15-1-1971;358.4
18-1-1971;358.29
19-1-1971;358.35
20-1-1971;358.4
21-1-1971;358.27
22-1-1971;357.9
25-1-1971;357.73
26-1-1971;357.78
27-1-1971;357.79
28-1-1971;357.83
29-1-1971;357.72
1-2-1971;357.67
2-2-1971;357.55
3-2-1971;357.54
4-2-1971;357.51
5-2-1971;357.53
8-2-1971;357.49
9-2-1971;357.5
10-2-1971;357.5
11-2-1971;357.5
16-2-1971;357.53
17-2-1971;357.53
18-2-1971;357.53
19-2-1971;357.56
22-2-1971;357.6
23-2-1971;357.55
24-2-1971;357.6
25-2-1971;357.56
26-2-1971;357.56
1-3-1971;357.63
2-3-1971;357.56
3-3-1971;357.49
4-3-1971;357.45
5-3-1971;357.59
8-3-1971;357.55
9-3-1971;357.46
10-3-1971;357.59
11-3-1971;357.56
12-3-1971;357.58
15-3-1971;357.54
16-3-1971;357.49
17-3-1971;357.53
18-3-1971;357.56
19-3-1971;357.56
22-3-1971;357.44
23-3-1971;357.53
24-3-1971;357.53
25-3-1971;357.47
26-3-1971;357.47
29-3-1971;357.44
30-3-1971;357.49
31-3-1971;357.42
1-4-1971;357.49
2-4-1971;357.53
5-4-1971;357.5
6-4-1971;357.46
7-4-1971;357.55
8-4-1971;357.55
9-4-1971;357.5
12-4-1971;357.5
13-4-1971;357.62
14-4-1971;357.58
15-4-1971;357.5
16-4-1971;357.54
19-4-1971;357.49
20-4-1971;357.49
21-4-1971;357.49
22-4-1971;357.49
23-4-1971;357.49
26-4-1971;357.5
27-4-1971;357.49
28-4-1971;357.5
29-4-1971;357.41
30-4-1971;357.4
3-5-1971;357.41
4-5-1971;357.4
5-5-1971;357.4
6-5-1971;357.41
7-5-1971;357.41
10-5-1971;357.14
11-5-1971;357.44
12-5-1971;357.53
13-5-1971;357.49
14-5-1971;357.49
17-5-1971;357.4
18-5-1971;357.44
19-5-1971;357.4
20-5-1971;357.46
21-5-1971;357.4
24-5-1971;357.4
25-5-1971;357.4
26-5-1971;357.44
27-5-1971;357.4
28-5-1971;357.4
1-6-1971;357.46
2-6-1971;357.4
3-6-1971;357.46
4-6-1971;357.4
7-6-1971;357.4
8-6-1971;357.4
9-6-1971;357.4
10-6-1971;357.4
11-6-1971;357.4
14-6-1971;357.4
15-6-1971;357.46
16-6-1971;357.46
17-6-1971;357.46
18-6-1971;357.4
21-6-1971;357.4
22-6-1971;357.4
23-6-1971;357.4
24-6-1971;357.4
25-6-1971;357.4
28-6-1971;357.37
29-6-1971;357.39
30-6-1971;357.4
1-7-1971;357.4
2-7-1971;357.4
6-7-1971;357.45
7-7-1971;357.46
8-7-1971;357.46
9-7-1971;357.4
12-7-1971;357.41
13-7-1971;357.44
14-7-1971;357.4
15-7-1971;357.4
16-7-1971;357.4
19-7-1971;357.39
20-7-1971;357.39
21-7-1971;357.4
22-7-1971;357.37
23-7-1971;357.36
26-7-1971;357.4
27-7-1971;357.37
28-7-1971;357.4
29-7-1971;357.4
30-7-1971;357.39
2-8-1971;357.41
3-8-1971;357.37
4-8-1971;357.37
5-8-1971;357.37
6-8-1971;357.37
9-8-1971;357.35
10-8-1971;357.39
11-8-1971;357.35
12-8-1971;357.4
13-8-1971;357.35
31-8-1971;339.85
1-9-1971;341.01
2-9-1971;338.98
3-9-1971;340.14
7-9-1971;339.79
8-9-1971;339.39
9-9-1971;339.07
10-9-1971;338.81
13-9-1971;338.98
14-9-1971;338.24
15-9-1971;338.41
16-9-1971;337.84
17-9-1971;337.95
20-9-1971;337.27
21-9-1971;337.34
22-9-1971;337.44
23-9-1971;337.27
24-9-1971;336.98
27-9-1971;336.25
28-9-1971;336.36
29-9-1971;335.57
30-9-1971;335.35
1-10-1971;333.39
4-10-1971;333.17
5-10-1971;333.14
6-10-1971;332.65
7-10-1971;332.61
8-10-1971;332.37
12-10-1971;330.52
13-10-1971;331.4
14-10-1971;330.85
15-10-1971;330.58
18-10-1971;329.6
19-10-1971;330.85
20-10-1971;331.07
21-10-1971;330.79
22-10-1971;330.36
26-10-1971;329.00
27-10-1971;329.54
28-10-1971;329.71
29-10-1971;329.5
1-11-1971;329.45
3-11-1971;329.5
4-11-1971;330.87
5-11-1971;329.16
8-11-1971;329.22
9-11-1971;329.16
10-11-1971;329.11
11-11-1971;329.11
12-11-1971;329.49
15-11-1971;328.73
16-11-1971;328.62
17-11-1971;328.8
18-11-1971;328.68
19-11-1971;328.4
22-11-1971;328.41
23-11-1971;328.19
24-11-1971;328.04
26-11-1971;327.6
29-11-1971;327.06
30-11-1971;327.44
1-12-1971;327.6
2-12-1971;326.00
3-12-1971;325.1
6-12-1971;326.53
7-12-1971;323.62
8-12-1971;323.5
9-12-1971;323.52
10-12-1971;323.1
13-12-1971;322.79
14-12-1971;322.58
15-12-1971;321.54
16-12-1971;320.00
17-12-1971;320.36
21-12-1971;314.98
22-12-1971;314.96
23-12-1971;315.01
24-12-1971;315.21
27-12-1971;314.96
28-12-1971;315.01
29-12-1971;315.21
30-12-1971;315.01
31-12-1971;315.01
3-1-1972;314.86
4-1-1972;314.96
5-1-1972;314.86
6-1-1972;312.01
7-1-1972;312.5
10-1-1972;312.99
11-1-1972;314.47
12-1-1972;313.48
13-1-1972;313.97
14-1-1972;312.99
17-1-1972;313.38
18-1-1972;312.89
19-1-1972;312.79
20-1-1972;312.01
21-1-1972;312.3
24-1-1972;312.21
25-1-1972;311.82
26-1-1972;311.53
27-1-1972;310.08
28-1-1972;310.46
31-1-1972;310.56
1-2-1972;310.37
2-2-1972;308.55
3-2-1972;309.12
4-2-1972;308.64
7-2-1972;308.17
8-2-1972;307.69
9-2-1972;304.79
10-2-1972;304.69
11-2-1972;304.69
14-2-1972;304.23
15-2-1972;304.14
16-2-1972;303.95
17-2-1972;303.95
18-2-1972;303.49
22-2-1972;302.85
23-2-1972;302.48
24-2-1972;302.11
25-2-1972;302.48
28-2-1972;303.95
29-2-1972;303.4
1-3-1972;303.21
2-3-1972;303.03
3-3-1972;302.66
6-3-1972;302.75
7-3-1972;302.3
8-3-1972;302.02
9-3-1972;301.66
10-3-1972;301.93
13-3-1972;302.3
14-3-1972;302.21
15-3-1972;302.11
16-3-1972;302.02
17-3-1972;302.11
20-3-1972;302.3
21-3-1972;302.11
22-3-1972;302.11
23-3-1972;301.93
24-3-1972;302.3
27-3-1972;302.57
28-3-1972;302.85
29-3-1972;303.77
30-3-1972;303.77
31-3-1972;304.32
3-4-1972;304.14
4-4-1972;304.97
5-4-1972;305.16
6-4-1972;304.88
7-4-1972;303.21
10-4-1972;302.11
11-4-1972;302.3
12-4-1972;302.43
13-4-1972;302.57
14-4-1972;302.94
17-4-1972;302.57
18-4-1972;302.39
19-4-1972;302.94
20-4-1972;303.03
21-4-1972;303.21
24-4-1972;305.16
25-4-1972;304.32
26-4-1972;303.77
27-4-1972;304.23
28-4-1972;304.88
1-5-1972;304.41
2-5-1972;304.23
3-5-1972;304.32
4-5-1972;304.23
5-5-1972;304.32
8-5-1972;305.06
9-5-1972;304.97
10-5-1972;303.77
11-5-1972;303.58
12-5-1972;303.86
15-5-1972;304.32
16-5-1972;304.41
17-5-1972;304.51
18-5-1972;304.6
19-5-1972;304.04
22-5-1972;304.41
23-5-1972;304.23
24-5-1972;304.32
25-5-1972;304.32
26-5-1972;304.41
30-5-1972;305.34
31-5-1972;304.69
1-6-1972;304.41
2-6-1972;304.23
5-6-1972;304.69
6-6-1972;304.51
7-6-1972;304.41
8-6-1972;304.32
9-6-1972;304.23
12-6-1972;304.51
13-6-1972;304.04
14-6-1972;303.95
15-6-1972;304.04
16-6-1972;303.95
19-6-1972;303.86
20-6-1972;303.4
21-6-1972;302.94
22-6-1972;302.07
23-6-1972;294.12
26-6-1972;298.51
27-6-1972;298.51
28-6-1972;296.74
29-6-1972;300.75
30-6-1972;300.93
3-7-1972;300.84
5-7-1972;300.03
6-7-1972;300.57
7-7-1972;300.93
10-7-1972;301.3
11-7-1972;301.57
12-7-1972;301.2
13-7-1972;301.02
14-7-1972;301.2
17-7-1972;301.02
18-7-1972;300.75
19-7-1972;301.2
20-7-1972;300.93
21-7-1972;301.11
24-7-1972;301.2
25-7-1972;300.75
26-7-1972;301.2
27-7-1972;301.2
28-7-1972;301.2
31-7-1972;301.39
1-8-1972;301.2
2-8-1972;301.2
3-8-1972;301.2
4-8-1972;300.93
7-8-1972;301.11
8-8-1972;301.2
9-8-1972;301.2
10-8-1972;301.11
11-8-1972;301.11
14-8-1972;301.11
15-8-1972;301.2
16-8-1972;301.2
17-8-1972;301.2
18-8-1972;301.2
21-8-1972;301.11
22-8-1972;301.2
23-8-1972;301.2
24-8-1972;301.2
25-8-1972;301.2
28-8-1972;301.2
29-8-1972;301.2
30-8-1972;301.11
31-8-1972;301.11
1-9-1972;301.11
5-9-1972;301.2
6-9-1972;301.2
7-9-1972;301.11
8-9-1972;301.11
11-9-1972;301.2
12-9-1972;301.11
13-9-1972;301.11
14-9-1972;301.11
15-9-1972;301.11
18-9-1972;301.11
19-9-1972;301.11
20-9-1972;301.11
21-9-1972;301.11
22-9-1972;301.11
25-9-1972;301.11
26-9-1972;301.11
27-9-1972;301.02
28-9-1972;301.11
29-9-1972;301.11
2-10-1972;301.11
3-10-1972;301.11
4-10-1972;301.11
5-10-1972;301.11
6-10-1972;300.93
10-10-1972;300.93
11-10-1972;301.02
12-10-1972;301.02
13-10-1972;301.11
16-10-1972;301.11
17-10-1972;301.11
18-10-1972;301.11
19-10-1972;301.02
20-10-1972;300.75
24-10-1972;301.02
25-10-1972;301.2
26-10-1972;300.84
27-10-1972;300.48
30-10-1972;301.02
31-10-1972;301.11
1-11-1972;301.02
2-11-1972;300.66
3-11-1972;299.94
6-11-1972;301.02
8-11-1972;301.02
9-11-1972;301.02
10-11-1972;300.93
13-11-1972;301.02
14-11-1972;301.02
15-11-1972;301.11
16-11-1972;301.11
17-11-1972;301.02
20-11-1972;301.11
21-11-1972;301.11
22-11-1972;301.11
24-11-1972;301.02
27-11-1972;301.11
28-11-1972;301.2
29-11-1972;301.11
30-11-1972;301.11
1-12-1972;301.11
4-12-1972;301.11
5-12-1972;301.11
6-12-1972;301.11
7-12-1972;301.11
8-12-1972;301.11
11-12-1972;301.07
12-12-1972;301.11
13-12-1972;301.11
14-12-1972;301.11
15-12-1972;301.11
18-12-1972;301.11
19-12-1972;301.11
20-12-1972;301.11
21-12-1972;301.11
22-12-1972;301.11
26-12-1972;301.39
27-12-1972;302.02
28-12-1972;302.02
29-12-1972;301.66
2-1-1973;301.39
3-1-1973;301.43
4-1-1973;301.2
5-1-1973;301.3
8-1-1973;302.21
9-1-1973;302.07
10-1-1973;301.84
11-1-1973;301.48
12-1-1973;301.66
15-1-1973;301.66
16-1-1973;301.93
17-1-1973;302.11
18-1-1973;302.21
19-1-1973;302.57
22-1-1973;302.48
23-1-1973;301.66
24-1-1973;302.11
25-1-1973;301.84
26-1-1973;301.75
29-1-1973;301.66
30-1-1973;301.39
31-1-1973;301.39
1-2-1973;300.93
2-2-1973;299.58
5-2-1973;300.75
6-2-1973;299.85
7-2-1973;299.85
8-2-1973;299.4
9-2-1973;293.26
13-2-1973;266.67
14-2-1973;265.96
15-2-1973;263.02
16-2-1973;263.85
20-2-1973;265.96
21-2-1973;264.9
22-2-1973;265.46
23-2-1973;264.9
26-2-1973;265.6
27-2-1973;265.96
28-2-1973;265.67
1-3-1973;265.6
2-3-1973;262.12
5-3-1973;259.07
6-3-1973;261.78
7-3-1973;261.92
8-3-1973;261.44
9-3-1973;260.42
12-3-1973;257.07
13-3-1973;254.97
14-3-1973;254.45
15-3-1973;255.75
16-3-1973;260.08
19-3-1973;263.16
20-3-1973;263.16
21-3-1973;263.16
22-3-1973;263.5
23-3-1973;266.03
26-3-1973;265.53
27-3-1973;265.39
28-3-1973;265.6
29-3-1973;265.67
30-3-1973;265.96
2-4-1973;266.03
3-4-1973;265.46
4-4-1973;264.97
5-4-1973;264.55
6-4-1973;264.76
9-4-1973;265.53
10-4-1973;265.53
11-4-1973;265.67
12-4-1973;266.03
13-4-1973;265.89
16-4-1973;265.6
17-4-1973;265.46
18-4-1973;265.46
