sep=;
"Date";"Line(QGBP1YFSR=X)"
"31-12-2021";"0,81363"
"30-12-2021";"0,83238"
"29-12-2021";"0,83588"
"24-12-2021";"0,82288"
"23-12-2021";"0,81625"
"22-12-2021";"0,8075"
"21-12-2021";"0,77538"
"20-12-2021";"0,75913"
"17-12-2021";"0,73225"
"16-12-2021";"0,69325"
"15-12-2021";"0,68188"
"14-12-2021";"0,62663"
"13-12-2021";"0,62088"
"10-12-2021";"0,63"
"9-12-2021";"0,628"
"8-12-2021";"0,61875"
"7-12-2021";"0,6365"
"6-12-2021";"0,63713"
"3-12-2021";"0,65338"
"2-12-2021";"0,663"
"1-12-2021";"0,66688"
"30-11-2021";"0,6195"
"29-11-2021";"0,64238"
"26-11-2021";"0,634"
"25-11-2021";"0,6945"
"24-11-2021";"0,69075"
"23-11-2021";"0,6835"
"22-11-2021";"0,67125"
"19-11-2021";"0,66175"
"18-11-2021";"0,67838"
"17-11-2021";"0,69188"
"16-11-2021";"0,68725"
"15-11-2021";"0,65088"
"12-11-2021";"0,66588"
"11-11-2021";"0,6655"
"10-11-2021";"0,63688"
"9-11-2021";"0,60713"
"8-11-2021";"0,57813"
"5-11-2021";"0,57025"
"4-11-2021";"0,77238"
"3-11-2021";"0,77538"
"2-11-2021";"0,78213"
"1-11-2021";"0,828"
"29-10-2021";"0,81538"
"28-10-2021";"0,851"
"27-10-2021";"0,7065"
"26-10-2021";"0,69088"
"25-10-2021";"0,7145"
"22-10-2021";"0,72263"
"21-10-2021";"0,73838"
"20-10-2021";"0,72713"
"19-10-2021";"0,728"
"18-10-2021";"0,71325"
"15-10-2021";"0,54238"
"14-10-2021";"0,55713"
"13-10-2021";"0,5395"
"12-10-2021";"0,52488"
"11-10-2021";"0,51938"
"8-10-2021";"0,4495"
"7-10-2021";"0,41475"
"6-10-2021";"0,43013"
"5-10-2021";"0,37313"
"4-10-2021";"0,37238"
"1-10-2021";"0,36963"
"30-9-2021";"0,37525"
"29-9-2021";"0,352"
"28-9-2021";"0,34963"
"27-9-2021";"0,33813"
"24-9-2021";"0,33913"
"23-9-2021";"0,2735"
"22-9-2021";"0,26063"
"21-9-2021";"0,26038"
"20-9-2021";"0,26163"
"17-9-2021";"0,25625"
"16-9-2021";"0,2575"
"15-9-2021";"0,248"
"14-9-2021";"0,2455"
"13-9-2021";"0,24138"
"10-9-2021";"0,23738"
"9-9-2021";"0,24288"
"8-9-2021";"0,226"
"7-9-2021";"0,22013"
"6-9-2021";"0,2165"
"3-9-2021";"0,21713"
"2-9-2021";"0,21813"
"1-9-2021";"0,22175"
"31-8-2021";"0,2195"
"27-8-2021";"0,22538"
"26-8-2021";"0,2235"
"25-8-2021";"0,216"
"24-8-2021";"0,21525"
"23-8-2021";"0,21288"
"20-8-2021";"0,20963"
"19-8-2021";"0,20738"
"18-8-2021";"0,21325"
"17-8-2021";"0,21325"
"16-8-2021";"0,21413"
"13-8-2021";"0,2135"
"12-8-2021";"0,2155"
"11-8-2021";"0,217"
"10-8-2021";"0,21425"
"9-8-2021";"0,21475"
"6-8-2021";"0,21"
"5-8-2021";"0,18725"
"4-8-2021";"0,18638"
"3-8-2021";"0,18363"
"2-8-2021";"0,18613"
"30-7-2021";"0,18625"
"29-7-2021";"0,188"
"28-7-2021";"0,18488"
"27-7-2021";"0,18163"
"26-7-2021";"0,18138"
"23-7-2021";"0,1845"
"22-7-2021";"0,18788"
"21-7-2021";"0,18788"
"20-7-2021";"0,18538"
"19-7-2021";"0,19763"
"16-7-2021";"0,19613"
"15-7-2021";"0,17625"
"14-7-2021";"0,17825"
"13-7-2021";"0,17438"
"12-7-2021";"0,17313"
"9-7-2021";"0,173"
"8-7-2021";"0,16863"
"7-7-2021";"0,17038"
"6-7-2021";"0,17188"
"5-7-2021";"0,17163"
"2-7-2021";"0,17338"
"1-7-2021";"0,17775"
"30-6-2021";"0,1805"
"29-6-2021";"0,1805"
"28-6-2021";"0,18038"
"25-6-2021";"0,17875"
"24-6-2021";"0,18313"
"23-6-2021";"0,18188"
"22-6-2021";"0,181"
"21-6-2021";"0,183"
"18-6-2021";"0,18"
"17-6-2021";"0,17413"
"16-6-2021";"0,16925"
"15-6-2021";"0,16675"
"14-6-2021";"0,16875"
"11-6-2021";"0,16563"
"10-6-2021";"0,16588"
"9-6-2021";"0,1655"
"8-6-2021";"0,16663"
"7-6-2021";"0,16563"
"4-6-2021";"0,1655"
"3-6-2021";"0,165"
"2-6-2021";"0,16388"
"1-6-2021";"0,16413"
"28-5-2021";"0,1625"
"27-5-2021";"0,16063"
"26-5-2021";"0,1615"
"25-5-2021";"0,16388"
"24-5-2021";"0,16338"
"21-5-2021";"0,16288"
"20-5-2021";"0,1645"
"19-5-2021";"0,16488"
"18-5-2021";"0,16463"
"17-5-2021";"0,1685"
"14-5-2021";"0,16963"
"13-5-2021";"0,17113"
"12-5-2021";"0,16738"
"11-5-2021";"0,166"
"10-5-2021";"0,16463"
"7-5-2021";"0,1635"
"6-5-2021";"0,16288"
"5-5-2021";"0,16163"
"4-5-2021";"0,16488"
"30-4-2021";"0,16638"
"29-4-2021";"0,16513"
"28-4-2021";"0,16375"
"27-4-2021";"0,15988"
"26-4-2021";"0,1595"
"23-4-2021";"0,159"
"22-4-2021";"0,15875"
"21-4-2021";"0,15788"
"20-4-2021";"0,15825"
"19-4-2021";"0,15813"
"16-4-2021";"0,1575"
"15-4-2021";"0,15975"
"14-4-2021";"0,16163"
"13-4-2021";"0,163"
"12-4-2021";"0,16338"
"9-4-2021";"0,16313"
"8-4-2021";"0,1625"
"7-4-2021";"0,16325"
"6-4-2021";"0,16363"
"1-4-2021";"0,16363"
"31-3-2021";"0,16375"
"30-3-2021";"0,16425"
"29-3-2021";"0,16213"
"26-3-2021";"0,16063"
"25-3-2021";"0,16163"
"24-3-2021";"0,16363"
"23-3-2021";"0,1615"
"22-3-2021";"0,16313"
"19-3-2021";"0,16175"
"18-3-2021";"0,1595"
"17-3-2021";"0,15775"
"16-3-2021";"0,15663"
"15-3-2021";"0,156"
"12-3-2021";"0,15388"
"11-3-2021";"0,15313"
"10-3-2021";"0,154"
"9-3-2021";"0,154"
"8-3-2021";"0,15263"
"5-3-2021";"0,15238"
"4-3-2021";"0,153"
"3-3-2021";"0,153"
"2-3-2021";"0,15025"
"1-3-2021";"0,14775"
"26-2-2021";"0,146"
"25-2-2021";"0,13925"
"24-2-2021";"0,13588"
"23-2-2021";"0,13013"
"22-2-2021";"0,13013"
"19-2-2021";"0,13238"
"18-2-2021";"0,128"
"17-2-2021";"0,128"
"16-2-2021";"0,12488"
"15-2-2021";"0,12288"
"12-2-2021";"0,12038"
"11-2-2021";"0,121"
"10-2-2021";"0,12213"
"9-2-2021";"0,12238"
"8-2-2021";"0,124"
"5-2-2021";"0,12113"
"4-2-2021";"0,091"
"3-2-2021";"0,09188"
"2-2-2021";"0,09138"
"1-2-2021";"0,08863"
"29-1-2021";"0,08288"
"28-1-2021";"0,07875"
"27-1-2021";"0,085"
"26-1-2021";"0,08175"
"25-1-2021";"0,081"
"22-1-2021";"0,08238"
"21-1-2021";"0,08538"
"20-1-2021";"0,0815"
"19-1-2021";"0,075"
"18-1-2021";"0,074"
"15-1-2021";"0,07825"
"14-1-2021";"0,07713"
"13-1-2021";"0,08938"
"12-1-2021";"0,08688"
"11-1-2021";"0,07013"
"8-1-2021";"0,07675"
"7-1-2021";"0,079"
"6-1-2021";"0,07575"
"5-1-2021";"0,07338"
"4-1-2021";"0,08213"
"31-12-2020";"0,08425"
"30-12-2020";"0,0945"
"29-12-2020";"0,09688"
"24-12-2020";"0,09813"
"23-12-2020";"0,08575"
"22-12-2020";"0,08788"
"21-12-2020";"0,08338"
"18-12-2020";"0,11075"
"17-12-2020";"0,1115"
"16-12-2020";"0,11463"
"15-12-2020";"0,10563"
"14-12-2020";"0,097"
"11-12-2020";"0,08175"
"10-12-2020";"0,10225"
"9-12-2020";"0,11225"
"8-12-2020";"0,1095"
"7-12-2020";"0,11338"
"4-12-2020";"0,12638"
"3-12-2020";"0,12988"
"2-12-2020";"0,13213"
"1-12-2020";"0,1335"
"30-11-2020";"0,12938"
"27-11-2020";"0,13313"
"26-11-2020";"0,13175"
"25-11-2020";"0,13575"
"24-11-2020";"0,13"
"23-11-2020";"0,13488"
"20-11-2020";"0,1345"
"19-11-2020";"0,1355"
"18-11-2020";"0,13188"
"17-11-2020";"0,13313"
"16-11-2020";"0,13263"
"13-11-2020";"0,136"
"12-11-2020";"0,1375"
"11-11-2020";"0,14238"
"10-11-2020";"0,138"
"9-11-2020";"0,12213"
"6-11-2020";"0,1225"
"5-11-2020";"0,12338"
"4-11-2020";"0,11938"
"3-11-2020";"0,12113"
"2-11-2020";"0,122"
"30-10-2020";"0,12538"
"29-10-2020";"0,12513"
"28-10-2020";"0,12513"
"27-10-2020";"0,133"
"26-10-2020";"0,1315"
"23-10-2020";"0,13213"
"22-10-2020";"0,12938"
"21-10-2020";"0,12188"
"20-10-2020";"0,11988"
"19-10-2020";"0,12725"
"16-10-2020";"0,12513"
"15-10-2020";"0,12975"
"14-10-2020";"0,12888"
"13-10-2020";"0,14388"
"12-10-2020";"0,14525"
"9-10-2020";"0,14563"
"8-10-2020";"0,15125"
"7-10-2020";"0,152"
"6-10-2020";"0,1515"
"5-10-2020";"0,15213"
"2-10-2020";"0,151"
"1-10-2020";"0,1495"
"30-9-2020";"0,15138"
"29-9-2020";"0,14675"
"28-9-2020";"0,152"
"25-9-2020";"0,15763"
"24-9-2020";"0,16188"
"23-9-2020";"0,16188"
"22-9-2020";"0,16513"
"21-9-2020";"0,14313"
"18-9-2020";"0,14188"
"17-9-2020";"0,17538"
"16-9-2020";"0,16738"
"15-9-2020";"0,16688"
"14-9-2020";"0,16025"
"11-9-2020";"0,16338"
"10-9-2020";"0,17975"
"9-9-2020";"0,18438"
"8-9-2020";"0,19625"
"7-9-2020";"0,21525"
"4-9-2020";"0,21913"
"3-9-2020";"0,22363"
"2-9-2020";"0,22613"
"1-9-2020";"0,23488"
"28-8-2020";"0,23538"
"27-8-2020";"0,24475"
"26-8-2020";"0,24863"
"25-8-2020";"0,242"
"24-8-2020";"0,25638"
"21-8-2020";"0,25675"
"20-8-2020";"0,25775"
"19-8-2020";"0,25588"
"18-8-2020";"0,26063"
"17-8-2020";"0,2655"
"14-8-2020";"0,272"
"13-8-2020";"0,2855"
"12-8-2020";"0,28688"
"11-8-2020";"0,28663"
"10-8-2020";"0,28525"
"7-8-2020";"0,28663"
"6-8-2020";"0,29613"
"5-8-2020";"0,29313"
"4-8-2020";"0,29588"
"3-8-2020";"0,29725"
"31-7-2020";"0,31188"
"30-7-2020";"0,31138"
"29-7-2020";"0,31088"
"28-7-2020";"0,31363"
"27-7-2020";"0,31188"
"24-7-2020";"0,31525"
"23-7-2020";"0,31263"
"22-7-2020";"0,31838"
"21-7-2020";"0,31738"
"20-7-2020";"0,3245"
"17-7-2020";"0,32925"
"16-7-2020";"0,33938"
"15-7-2020";"0,35025"
"14-7-2020";"0,36775"
"13-7-2020";"0,3665"
"10-7-2020";"0,37175"
"9-7-2020";"0,38075"
"8-7-2020";"0,38338"
"7-7-2020";"0,39263"
"6-7-2020";"0,418"
"3-7-2020";"0,42163"
"2-7-2020";"0,4265"
"1-7-2020";"0,4265"
"30-6-2020";"0,42863"
"29-6-2020";"0,45738"
"26-6-2020";"0,46388"
"25-6-2020";"0,471"
"24-6-2020";"0,47613"
"23-6-2020";"0,47563"
"22-6-2020";"0,489"
"19-6-2020";"0,50025"
"18-6-2020";"0,48463"
"17-6-2020";"0,49775"
"16-6-2020";"0,50225"
"15-6-2020";"0,51525"
"12-6-2020";"0,518"
"11-6-2020";"0,53388"
"10-6-2020";"0,55975"
"9-6-2020";"0,56975"
"8-6-2020";"0,568"
"5-6-2020";"0,56575"
"4-6-2020";"0,56825"
"3-6-2020";"0,566"
"2-6-2020";"0,56475"
"1-6-2020";"0,5675"
"29-5-2020";"0,56488"
"28-5-2020";"0,57713"
"27-5-2020";"0,58938"
"26-5-2020";"0,5915"
"22-5-2020";"0,59513"
"21-5-2020";"0,60388"
"20-5-2020";"0,62813"
"19-5-2020";"0,64363"
"18-5-2020";"0,65525"
"15-5-2020";"0,682"
"14-5-2020";"0,69025"
"13-5-2020";"0,68838"
"12-5-2020";"0,71475"
"11-5-2020";"0,722"
"7-5-2020";"0,7465"
"6-5-2020";"0,74775"
"5-5-2020";"0,75438"
"4-5-2020";"0,76275"
"1-5-2020";"0,79738"
"30-4-2020";"0,82563"
"29-4-2020";"0,83813"
"28-4-2020";"0,86775"
"27-4-2020";"0,86663"
"24-4-2020";"0,881"
"23-4-2020";"0,88375"
"22-4-2020";"0,8965"
"21-4-2020";"0,89813"
"20-4-2020";"0,89113"
"17-4-2020";"0,891"
"16-4-2020";"0,85488"
"15-4-2020";"0,85438"
"14-4-2020";"0,86175"
"9-4-2020";"0,83663"
"8-4-2020";"0,843"
"7-4-2020";"0,83263"
"6-4-2020";"0,826"
"3-4-2020";"0,82375"
"2-4-2020";"0,821"
"1-4-2020";"0,83363"
"31-3-2020";"0,86413"
"30-3-2020";"0,8615"
"27-3-2020";"0,84138"
"26-3-2020";"0,835"
