Date;libor3m
11-7-2023;5.50
10-7-2023;5.50
7-7-2023;5.49
6-7-2023;5.46
5-7-2023;5.44
4-7-2023;5.43
3-7-2023;5.43
30-6-2023;5.39
29-6-2023;5.38
28-6-2023;5.38
27-6-2023;5.36
26-6-2023;5.35
23-6-2023;5.34
22-6-2023;5.14
21-6-2023;5.11
20-6-2023;5.06
19-6-2023;5.03
16-6-2023;5.00
15-6-2023;5.00
14-6-2023;4.99
13-6-2023;5.01
12-6-2023;4.96
9-6-2023;4.93
8-6-2023;4.92
7-6-2023;4.92
6-6-2023;4.92
5-6-2023;4.91
2-6-2023;4.89
1-6-2023;4.88
31-5-2023;4.88
30-5-2023;4.90
26-5-2023;4.89
25-5-2023;4.87
24-5-2023;4.84
23-5-2023;4.75
22-5-2023;4.73
19-5-2023;4.73
18-5-2023;4.71
17-5-2023;4.70
16-5-2023;4.69
15-5-2023;4.70
12-5-2023;4.69
11-5-2023;4.68
10-5-2023;4.68
9-5-2023;4.67
5-5-2023;4.63
4-5-2023;4.63
3-5-2023;4.62
2-5-2023;4.64
28-4-2023;4.62
27-4-2023;4.61
26-4-2023;4.59
25-4-2023;4.60
24-4-2023;4.60
21-4-2023;4.59
20-4-2023;4.59
19-4-2023;4.60
18-4-2023;4.53
17-4-2023;4.50
14-4-2023;4.49
13-4-2023;4.48
12-4-2023;4.48
11-4-2023;4.47
6-4-2023;4.44
5-4-2023;4.44
4-4-2023;4.43
3-4-2023;4.43
31-3-2023;4.42
30-3-2023;4.41
29-3-2023;4.40
28-3-2023;4.41
27-3-2023;4.39
24-3-2023;4.35
23-3-2023;4.37
22-3-2023;4.39
21-3-2023;4.24
20-3-2023;4.21
17-3-2023;4.24
16-3-2023;4.24
15-3-2023;4.24
14-3-2023;4.26
13-3-2023;4.26
10-3-2023;4.34
9-3-2023;4.36
8-3-2023;4.36
7-3-2023;4.32
6-3-2023;4.32
3-3-2023;4.31
2-3-2023;4.29
1-3-2023;4.33
28-2-2023;4.32
27-2-2023;4.31
24-2-2023;4.26
23-2-2023;4.26
22-2-2023;4.25
21-2-2023;4.24
20-2-2023;4.22
17-2-2023;4.20
16-2-2023;4.19
15-2-2023;4.20
14-2-2023;4.21
13-2-2023;4.20
10-2-2023;4.18
9-2-2023;4.17
8-2-2023;4.17
7-2-2023;4.16
6-2-2023;4.17
3-2-2023;4.16
2-2-2023;4.13
1-2-2023;4.14
31-1-2023;4.12
30-1-2023;4.13
27-1-2023;4.10
26-1-2023;4.10
25-1-2023;4.07
24-1-2023;4.07
23-1-2023;4.09
20-1-2023;4.06
19-1-2023;4.06
18-1-2023;4.04
17-1-2023;4.02
16-1-2023;4.00
13-1-2023;3.98
12-1-2023;3.96
11-1-2023;3.97
10-1-2023;3.96
9-1-2023;3.95
6-1-2023;3.93
5-1-2023;3.91
4-1-2023;3.90
3-1-2023;3.89
30-12-2022;3.87
29-12-2022;3.86
28-12-2022;3.86
23-12-2022;3.81
22-12-2022;3.80
21-12-2022;3.80
20-12-2022;3.79
19-12-2022;3.79
16-12-2022;3.78
15-12-2022;3.80
14-12-2022;3.79
13-12-2022;3.82
12-12-2022;3.80
9-12-2022;3.76
8-12-2022;3.73
7-12-2022;3.73
6-12-2022;3.72
5-12-2022;3.71
2-12-2022;3.68
1-12-2022;3.68
30-11-2022;3.68
29-11-2022;3.66
28-11-2022;3.66
25-11-2022;3.64
24-11-2022;3.60
23-11-2022;3.60
22-11-2022;3.59
21-11-2022;3.59
18-11-2022;3.57
17-11-2022;3.55
16-11-2022;3.56
15-11-2022;3.53
14-11-2022;3.51
11-11-2022;3.47
10-11-2022;3.47
9-11-2022;3.47
8-11-2022;3.45
7-11-2022;3.45
4-11-2022;3.43
3-11-2022;3.38
2-11-2022;3.36
1-11-2022;3.36
31-10-2022;3.36
28-10-2022;3.34
27-10-2022;3.32
26-10-2022;3.37
25-10-2022;3.38
24-10-2022;3.37
21-10-2022;3.38
20-10-2022;3.37
19-10-2022;3.40
18-10-2022;3.40
17-10-2022;3.39
14-10-2022;3.42
13-10-2022;3.49
12-10-2022;3.49
11-10-2022;3.49
10-10-2022;3.46
7-10-2022;3.42
6-10-2022;3.36
5-10-2022;3.30
4-10-2022;3.25
3-10-2022;3.33
30-9-2022;3.34
29-9-2022;3.60
28-9-2022;3.50
27-9-2022;3.41
26-9-2022;3.75
23-9-2022;2.80
22-9-2022;2.91
21-9-2022;2.88
20-9-2022;2.87
16-9-2022;2.76
15-9-2022;2.74
14-9-2022;2.74
13-9-2022;2.72
12-9-2022;2.68
9-9-2022;2.67
8-9-2022;2.67
7-9-2022;2.69
6-9-2022;2.68
5-9-2022;2.67
2-9-2022;2.61
1-9-2022;2.58
31-8-2022;2.53
30-8-2022;2.52
26-8-2022;2.42
25-8-2022;2.40
24-8-2022;2.40
23-8-2022;2.38
22-8-2022;2.35
19-8-2022;2.32
18-8-2022;2.29
17-8-2022;2.25
16-8-2022;2.18
15-8-2022;2.17
12-8-2022;2.15
11-8-2022;2.12
10-8-2022;2.12
9-8-2022;2.10
8-8-2022;2.10
5-8-2022;2.08
4-8-2022;2.02
3-8-2022;2.00
2-8-2022;1.97
1-8-2022;1.96
29-7-2022;1.94
28-7-2022;1.95
27-7-2022;1.95
26-7-2022;1.92
25-7-2022;1.91
22-7-2022;1.89
21-7-2022;1.90
20-7-2022;1.90
19-7-2022;1.90
18-7-2022;1.90
15-7-2022;1.90
14-7-2022;1.90
13-7-2022;1.81
12-7-2022;1.78
11-7-2022;1.78
8-7-2022;1.76
7-7-2022;1.74
6-7-2022;1.72
5-7-2022;1.72
4-7-2022;1.70
1-7-2022;1.69
30-6-2022;1.67
29-6-2022;1.67
28-6-2022;1.66
27-6-2022;1.64
24-6-2022;1.63
23-6-2022;1.62
22-6-2022;1.62
21-6-2022;1.62
20-6-2022;1.61
17-6-2022;1.60
16-6-2022;1.62
15-6-2022;1.59
14-6-2022;1.60
13-6-2022;1.59
10-6-2022;1.54
9-6-2022;1.50
8-6-2022;1.47
7-6-2022;1.45
6-6-2022;1.47
1-6-2022;1.42
31-5-2022;1.42
30-5-2022;1.41
27-5-2022;1.38
26-5-2022;1.35
25-5-2022;1.35
24-5-2022;1.34
23-5-2022;1.38
20-5-2022;1.36
19-5-2022;1.33
18-5-2022;1.33
17-5-2022;1.32
16-5-2022;1.28
13-5-2022;1.26
12-5-2022;1.24
11-5-2022;1.24
10-5-2022;1.24
9-5-2022;1.23
6-5-2022;1.23
5-5-2022;1.26
4-5-2022;1.30
3-5-2022;1.28
29-4-2022;1.23
28-4-2022;1.21
27-4-2022;1.21
26-4-2022;1.21
25-4-2022;1.21
22-4-2022;1.24
21-4-2022;1.17
20-4-2022;1.15
19-4-2022;1.16
14-4-2022;1.12
13-4-2022;1.11
12-4-2022;1.09
11-4-2022;1.09
8-4-2022;1.06
7-4-2022;1.06
6-4-2022;1.06
5-4-2022;1.05
4-4-2022;1.05
1-4-2022;1.04
31-3-2022;1.04
30-3-2022;1.03
