sep=;
"Date";"Line(QGBP6MFSR=X)"
"31-3-2023";"4,7447"
"30-3-2023";"4,7189"
"29-3-2023";"4,7094"
"28-3-2023";"4,7307"
"27-3-2023";"4,6853"
"24-3-2023";"4,5988"
"23-3-2023";"4,6623"
"22-3-2023";"4,6997"
"21-3-2023";"4,469"
"20-3-2023";"4,4033"
"17-3-2023";"4,4743"
"16-3-2023";"4,5023"
"15-3-2023";"4,5402"
"14-3-2023";"4,5365"
"13-3-2023";"4,541"
"10-3-2023";"4,7122"
"9-3-2023";"4,7537"
"8-3-2023";"4,7515"
"7-3-2023";"4,6861"
"6-3-2023";"4,6778"
"3-3-2023";"4,6583"
"2-3-2023";"4,6585"
"1-3-2023";"4,7121"
"28-2-2023";"4,7082"
"27-2-2023";"4,7014"
"24-2-2023";"4,6297"
"23-2-2023";"4,6305"
"22-2-2023";"4,625"
"21-2-2023";"4,5711"
"20-2-2023";"4,5354"
"17-2-2023";"4,5328"
"16-2-2023";"4,4935"
"15-2-2023";"4,5351"
"14-2-2023";"4,558"
"13-2-2023";"4,5422"
"10-2-2023";"4,5079"
"9-2-2023";"4,4787"
"8-2-2023";"4,4777"
"7-2-2023";"4,4702"
"6-2-2023";"4,4721"
"3-2-2023";"4,446"
"2-2-2023";"4,4582"
"1-2-2023";"4,4859"
"31-1-2023";"4,4808"
"30-1-2023";"4,4863"
"27-1-2023";"4,4596"
"26-1-2023";"4,4675"
"25-1-2023";"4,4428"
"24-1-2023";"4,4546"
"23-1-2023";"4,4781"
"20-1-2023";"4,4548"
"19-1-2023";"4,4658"
"18-1-2023";"4,4515"
"17-1-2023";"4,4302"
"16-1-2023";"4,4077"
"13-1-2023";"4,3814"
"12-1-2023";"4,3765"
"11-1-2023";"4,3998"
"10-1-2023";"4,3916"
"9-1-2023";"4,3886"
"6-1-2023";"4,399"
"5-1-2023";"4,3552"
"4-1-2023";"4,3513"
"3-1-2023";"4,3589"
"30-12-2022";"4,3715"
"29-12-2022";"4,3642"
"28-12-2022";"4,3726"
"23-12-2022";"4,3413"
"22-12-2022";"4,3117"
"21-12-2022";"4,3218"
"20-12-2022";"4,3237"
"19-12-2022";"4,307"
"16-12-2022";"4,2932"
"15-12-2022";"4,2851"
