Date;Open;High;Low;Last;Volume;Status
8-11-1989;;;;2,627;;1
9-11-1989;;;;2,628;;1
10-11-1989;;;;2,629;;1
13-11-1989;;;;2,629;;1
14-11-1989;;;;2,632;;1
15-11-1989;;;;2,633;;1
16-11-1989;;;;2,635;;1
17-11-1989;;;;2,636;;1
20-11-1989;;;;2,624;;1
21-11-1989;;;;2,637;;1
22-11-1989;;;;2,641;;1
24-11-1989;;;;2,642;;1
27-11-1989;;;;2,644;;1
28-11-1989;;;;2,647;;1
29-11-1989;;;;2,648;;1
30-11-1989;;;;2,649;;1
1-12-1989;;;;2,637;;1
4-12-1989;;;;2,651;;1
5-12-1989;;;;2,654;;1
6-12-1989;;;;2,655;;1
7-12-1989;;;;2,656;;1
8-12-1989;;;;2,657;;1
11-12-1989;;;;2,658;;1
12-12-1989;;;;2,661;;1
13-12-1989;;;;2,661;;1
14-12-1989;;;;2,663;;1
15-12-1989;;;;2,663;;1
18-12-1989;;;;2,657;;1
19-12-1989;;;;2,657;;1
20-12-1989;;;;2,665;;1
21-12-1989;;;;2,665;;1
22-12-1989;;;;2,665;;1
27-12-1989;;;;2,676;;1
28-12-1989;;;;2,677;;1
29-12-1989;;;;2,677;;1
2-1-1990;;;;2,677;;1
3-1-1990;;;;2,682;;1
4-1-1990;;;;2,682;;1
5-1-1990;;;;2,683;;1
8-1-1990;;;;2,682;;1
9-1-1990;;;;2,686;;1
10-1-1990;;;;2,686;;1
11-1-1990;;;;2,686;;1
12-1-1990;;;;2,679;;1
16-1-1990;;;;2,679;;1
17-1-1990;;;;2,695;;1
18-1-1990;;;;2,696;;1
19-1-1990;;;;2,694;;1
22-1-1990;;;;2,694;;1
23-1-1990;;;;2,701;;1
24-1-1990;;;;2,701;;1
25-1-1990;;;;2,704;;1
26-1-1990;;;;2,706;;1
29-1-1990;;;;2,707;;1
30-1-1990;;;;2,709;;1
31-1-1990;;;;2,711;;1
1-2-1990;;;;2,712;;1
2-2-1990;;;;2,713;;1
5-2-1990;;;;2,714;;1
6-2-1990;;;;2,714;;1
7-2-1990;;;;2,714;;1
8-2-1990;;;;2,715;;1
9-2-1990;;;;2,716;;1
12-2-1990;;;;2,718;;1
13-2-1990;;;;2,718;;1
14-2-1990;;;;2,725;;1
15-2-1990;;;;2,726;;1
16-2-1990;;;;2,727;;1
20-2-1990;;;;2,731;;1
21-2-1990;;;;2,732;;1
22-2-1990;;;;2,733;;1
23-2-1990;;;;2,734;;1
26-2-1990;;;;2,734;;1
27-2-1990;;;;2,738;;1
28-2-1990;;;;2,738;;1
1-3-1990;;;;2,738;;1
2-3-1990;;;;2,739;;1
5-3-1990;;;;2,742;;1
6-3-1990;;;;2,742;;1
7-3-1990;;;;2,742;;1
8-3-1990;;;;2,742;;1
9-3-1990;;;;2,747;;1
12-3-1990;;;;2,748;;1
13-3-1990;;;;2,749;;1
14-3-1990;;;;2,75;;1
15-3-1990;;;;2,753;;1
16-3-1990;;;;2,754;;1
19-3-1990;;;;2,755;;1
20-3-1990;;;;2,756;;1
21-3-1990;;;;2,758;;1
22-3-1990;;;;2,759;;1
23-3-1990;;;;2,761;;1
26-3-1990;;;;2,762;;1
27-3-1990;;;;2,766;;1
28-3-1990;;;;2,767;;1
29-3-1990;;;;2,768;;1
30-3-1990;;;;2,769;;1
2-4-1990;;;;2,772;;1
3-4-1990;;;;2,773;;1
4-4-1990;;;;2,774;;1
5-4-1990;;;;2,775;;1
6-4-1990;;;;2,776;;1
9-4-1990;;;;2,779;;1
10-4-1990;;;;2,78;;1
11-4-1990;;;;2,779;;1
12-4-1990;;;;2,779;;1
16-4-1990;;;;2,779;;1
17-4-1990;;;;2,785;;1
18-4-1990;;;;2,787;;1
19-4-1990;;;;2,787;;1
20-4-1990;;;;2,785;;1
23-4-1990;;;;2,787;;1
24-4-1990;;;;2,787;;1
25-4-1990;;;;2,793;;1
26-4-1990;;;;2,795;;1
27-4-1990;;;;2,797;;1
1-5-1990;;;;2,798;;1
3-5-1990;;;;2,8;;1
4-5-1990;;;;2,798;;1
7-5-1990;;;;2,798;;1
8-5-1990;;;;2,808;;1
9-5-1990;;;;2,808;;1
10-5-1990;;;;2,809;;1
11-5-1990;;;;2,81;;1
14-5-1990;;;;2,81;;1
15-5-1990;;;;2,811;;1
16-5-1990;;;;2,812;;1
17-5-1990;;;;2,813;;1
18-5-1990;;;;2,814;;1
21-5-1990;;;;2,817;;1
22-5-1990;;;;2,817;;1
23-5-1990;;;;2,818;;1
