sep=;
"Date";"Line(Q.TRCCRB)"
"11-7-2023";"267,596"
"10-7-2023";"264,3828"
"7-7-2023";"264,4608"
"6-7-2023";"261,9192"
"5-7-2023";"262,8048"
"3-7-2023";"260,8978"
"30-6-2023";"261,9932"
"29-6-2023";"259,0753"
"28-6-2023";"259,219"
"27-6-2023";"259,7129"
"26-6-2023";"263,4417"
"23-6-2023";"262,9974"
"22-6-2023";"265,7214"
"21-6-2023";"270,647"
"20-6-2023";"267,4136"
"16-6-2023";"270,908"
"15-6-2023";"266,9148"
"14-6-2023";"260,2673"
"13-6-2023";"260,8113"
"12-6-2023";"256,9446"
"9-6-2023";"260,5344"
"8-6-2023";"262,3184"
"7-6-2023";"261,4349"
"6-6-2023";"260,6792"
"5-6-2023";"260,4435"
"2-6-2023";"259,6874"
"1-6-2023";"257,3663"
"31-5-2023";"253,8476"
"30-5-2023";"255,4951"
"26-5-2023";"260,7035"
"25-5-2023";"258,4918"
"24-5-2023";"262,6974"
"23-5-2023";"261,2104"
"22-5-2023";"261,5848"
"19-5-2023";"262,1346"
"18-5-2023";"261,6635"
"17-5-2023";"262,2848"
"16-5-2023";"259,8938"
"15-5-2023";"261,6505"
"12-5-2023";"257,9239"
"11-5-2023";"257,986"
"10-5-2023";"262,2194"
"9-5-2023";"264,1212"
"8-5-2023";"264,0001"
"5-5-2023";"261,6041"
"4-5-2023";"256,8085"
"3-5-2023";"256,5628"
"2-5-2023";"260,6375"
"1-5-2023";"266,3216"
"28-4-2023";"268,1556"
"27-4-2023";"265,2179"
"26-4-2023";"264,9432"
"25-4-2023";"268,7823"
"24-4-2023";"272,6052"
"21-4-2023";"270,7984"
"20-4-2023";"271,9082"
"19-4-2023";"275,0226"
"18-4-2023";"278,9284"
"17-4-2023";"276,8093"
"14-4-2023";"276,2171"
"13-4-2023";"275,5899"
"12-4-2023";"275,7309"
"11-4-2023";"274,7278"
"10-4-2023";"271,6855"
"6-4-2023";"271,9884"
"5-4-2023";"272,2462"
"4-4-2023";"271,1472"
"3-4-2023";"271,3378"
"31-3-2023";"267,7272"
"30-3-2023";"264,3804"
"29-3-2023";"262,7066"
"28-3-2023";"263,4856"
"27-3-2023";"262,3263"
"24-3-2023";"258,4906"
"23-3-2023";"257,7784"
"22-3-2023";"258,649"
"21-3-2023";"257,6782"
"20-3-2023";"255,1724"
"17-3-2023";"254,6562"
"16-3-2023";"256,6455"
"15-3-2023";"254,0317"
"14-3-2023";"261,0755"
"13-3-2023";"264,6683"
"10-3-2023";"264,993"
"9-3-2023";"264,6538"
"8-3-2023";"267,0166"
"7-3-2023";"269,5776"
"6-3-2023";"273,5867"
"3-3-2023";"275,0535"
"2-3-2023";"271,3024"
"1-3-2023";"272,8119"
"28-2-2023";"269,8386"
"27-2-2023";"268,5991"
"24-2-2023";"267,15"
"23-2-2023";"266,9393"
"22-2-2023";"266,1034"
"21-2-2023";"268,4807"
"17-2-2023";"267,5701"
"16-2-2023";"270,2487"
"15-2-2023";"270,3832"
"14-2-2023";"273,557"
"13-2-2023";"272,7914"
"10-2-2023";"272,6711"
"9-2-2023";"270,4825"
"8-2-2023";"270,9371"
"7-2-2023";"270,7944"
"6-2-2023";"266,2147"
"3-2-2023";"266,194"
"2-2-2023";"271,6295"
"1-2-2023";"271,802"
"31-1-2023";"278,0917"
"30-1-2023";"274,4276"
"27-1-2023";"277,6648"
"26-1-2023";"279,5495"
"25-1-2023";"277,4759"
"24-1-2023";"277,9655"
"23-1-2023";"280,2502"
"20-1-2023";"278,4571"
"19-1-2023";"276,6232"
"18-1-2023";"276,1319"
"17-1-2023";"277,22"
"13-1-2023";"275,9121"
"12-1-2023";"273,7682"
"11-1-2023";"271,272"
"10-1-2023";"268,0909"
"9-1-2023";"268,6366"
"6-1-2023";"264,8221"
"5-1-2023";"263,6875"
"4-1-2023";"264,1701"
"3-1-2023";"270,1766"
"30-12-2022";"277,7467"
"29-12-2022";"276,01"
"28-12-2022";"277,3546"
"27-12-2022";"278,468"
"23-12-2022";"278,1068"
"22-12-2022";"273,6428"
"21-12-2022";"276,2122"
"20-12-2022";"272,2691"
"19-12-2022";"270,559"
"16-12-2022";"271,3779"
"15-12-2022";"274,7178"
"14-12-2022";"276,6303"
"13-12-2022";"275,0328"
"12-12-2022";"269,3685"
"9-12-2022";"266,2759"
"8-12-2022";"266,4004"
"7-12-2022";"265,8855"
"6-12-2022";"267,454"
"5-12-2022";"270,3537"
"2-12-2022";"276,6876"
"1-12-2022";"279,4643"
"30-11-2022";"279,7564"
"29-11-2022";"275,5185"
"28-11-2022";"272,9187"
"25-11-2022";"273,2535"
"23-11-2022";"276,8745"
"22-11-2022";"279,2436"
"21-11-2022";"276,5194"
"18-11-2022";"276,3964"
"17-11-2022";"277,6006"
"16-11-2022";"282,7825"
"15-11-2022";"284,3635"
"14-11-2022";"282,1593"
"11-11-2022";"285,7881"
"10-11-2022";"282,1174"
"9-11-2022";"279,7784"
"8-11-2022";"284,0467"
"7-11-2022";"286,916"
"4-11-2022";"287,5549"
"3-11-2022";"278,3234"
"2-11-2022";"280,6631"
"1-11-2022";"276,3418"
"31-10-2022";"274,1318"
"28-10-2022";"272,6244"
"27-10-2022";"276,8074"
"26-10-2022";"277,3452"
"25-10-2022";"273,9922"
"24-10-2022";"271,8243"
"21-10-2022";"272,3617"
"20-10-2022";"271,7228"
"19-10-2022";"271,3464"
"18-10-2022";"271,5495"
"17-10-2022";"275,327"
"14-10-2022";"276,6949"
"13-10-2022";"282,4899"
"12-10-2022";"279,2537"
"11-10-2022";"281,9595"
"10-10-2022";"283,0573"
"7-10-2022";"285,6154"
"6-10-2022";"282,2584"
"5-10-2022";"281,8931"
"4-10-2022";"280,4325"
"3-10-2022";"272,8179"
"30-9-2022";"268,2911"
"29-9-2022";"271,1557"
"28-9-2022";"271,82"
"27-9-2022";"265,9711"
"26-9-2022";"264,3006"
"23-9-2022";"268,4736"
"22-9-2022";"277,8457"
"21-9-2022";"278,2278"
"20-9-2022";"279,5395"
"19-9-2022";"279,7797"
"16-9-2022";"278,8752"
"15-9-2022";"281,0015"
"14-9-2022";"286,3348"
"13-9-2022";"285,7737"
"12-9-2022";"287,6247"
"9-9-2022";"284,1206"
"8-9-2022";"278,3067"
"7-9-2022";"276,516"
"6-9-2022";"282,6226"
"2-9-2022";"284,4719"
"1-9-2022";"284,6161"
"31-8-2022";"290,4056"
"30-8-2022";"293,5756"
"29-8-2022";"301,753"
"26-8-2022";"299,0943"
"25-8-2022";"296,7474"
"24-8-2022";"298,8643"
"23-8-2022";"296,3106"
"22-8-2022";"292,8336"
"19-8-2022";"292,0279"
"18-8-2022";"290,3318"
"17-8-2022";"288,872"
"16-8-2022";"287,6734"
"15-8-2022";"289,5414"
"12-8-2022";"293,4765"
"11-8-2022";"295,0575"
"10-8-2022";"289,2726"
"9-8-2022";"284,545"
"8-8-2022";"281,7978"
"5-8-2022";"281,0384"
"4-8-2022";"281,2113"
"3-8-2022";"281,7223"
"2-8-2022";"283,7008"
"1-8-2022";"286,1052"
"29-7-2022";"292,0616"
"28-7-2022";"289,0228"
"27-7-2022";"289,0827"
"26-7-2022";"286,4986"
"25-7-2022";"284,7559"
"22-7-2022";"281,1583"
"21-7-2022";"281,8367"
"20-7-2022";"287,0407"
"19-7-2022";"285,472"
"18-7-2022";"286,5444"
"15-7-2022";"277,6428"
"14-7-2022";"273,2605"
