Date;Open;High;Low;Last;Volume;Status
7-9-1994;;;;2,247;;1
8-9-1994;;;;2,26;;1
9-9-1994;;;;2,257;;1
12-9-1994;;;;2,251;;1
13-9-1994;;;;2,251;;1
14-9-1994;;;;2,29;;1
15-9-1994;;;;2,304;;1
16-9-1994;;;;2,299;;1
19-9-1994;;;;2,333;;1
20-9-1994;;;;2,37;;1
21-9-1994;;;;2,355;;1
22-9-1994;;;;2,403;;1
23-9-1994;;;;2,43;;1
26-9-1994;;;;2,452;;1
27-9-1994;;;;2,509;;1
28-9-1994;;;;2,67;;1
29-9-1994;;;;2,645;;1
30-9-1994;;;;2,673;;1
3-10-1994;;;;2,687;;1
4-10-1994;;;;2,68;;1
5-10-1994;;;;2,76;;1
6-10-1994;;;;2,83;;1
7-10-1994;;;;2,925;;1
10-10-1994;;;;3,17;;1
12-10-1994;;;;3,1;;1
13-10-1994;;;;3,02;;1
14-10-1994;;;;3,046;;1
17-10-1994;;;;3,118;;1
18-10-1994;;;;3,006;;1
19-10-1994;;;;3,031;;1
20-10-1994;;;;3,025;;1
21-10-1994;;;;3,045;;1
24-10-1994;;;;3,048;;1
25-10-1994;;;;3,05;;1
26-10-1994;;;;3,065;;1
27-10-1994;;;;3,067;;1
28-10-1994;;;;3,079;;1
31-10-1994;;;;3,092;;1
1-11-1994;;;;3,093;;1
2-11-1994;;;;3,101;;1
3-11-1994;;;;3,09;;1
4-11-1994;;;;3,092;;1
7-11-1994;;;;3,101;;1
8-11-1994;;;;3,084;;1
9-11-1994;;;;3,087;;1
10-11-1994;;;;3,112;;1
11-11-1994;;;;3,122;;1
14-11-1994;;;;3,133;;1
15-11-1994;;;;3,154;;1
16-11-1994;;;;3,15;;1
17-11-1994;;;;3,151;;1
18-11-1994;;;;3,155;;1
21-11-1994;;;;3,179;;1
22-11-1994;;;;3,197;;1
23-11-1994;;;;3,222;;1
24-11-1994;;;;3,215;;1
25-11-1994;;;;3,242;;1
28-11-1994;;;;3,243;;1
29-11-1994;;;;3,244;;1
30-11-1994;;;;3,241;;1
1-12-1994;;;;3,257;;1
2-12-1994;;;;3,271;;1
5-12-1994;;;;3,29;;1
6-12-1994;;;;3,29;;1
7-12-1994;;;;3,306;;1
8-12-1994;;;;3,326;;1
9-12-1994;;;;3,335;;1
12-12-1994;;;;3,33;;1
13-12-1994;;;;3,359;;1
14-12-1994;;;;3,383;;1
15-12-1994;;;;3,39;;1
16-12-1994;;;;3,401;;1
19-12-1994;;;;3,417;;1
20-12-1994;;;;3,435;;1
21-12-1994;;;;3,441;;1
22-12-1994;;;;3,458;;1
23-12-1994;;;;3,50525;;1
26-12-1994;;;;3,524;;1
27-12-1994;;;;3,538;;1
28-12-1994;;;;3,533;;1
29-12-1994;;;;3,547;;1
30-12-1994;;;;3,585;;1
2-1-1995;;;;3,585;;1
3-1-1995;;;;3,6;;1
4-1-1995;;;;3,621;;1
5-1-1995;;;;3,723;;1
6-1-1995;;;;3,745;;1
9-1-1995;;;;3,745;;1
10-1-1995;;;;3,784;;1
11-1-1995;;;;3,783;;1
12-1-1995;;;;3,788;;1
13-1-1995;;;;3,877;;1
16-1-1995;;;;3,881;;1
17-1-1995;;;;3,904;;1
18-1-1995;;;;3,936;;1
19-1-1995;;;;3,991;;1
20-1-1995;;;;4,005;;1
23-1-1995;;;;3,983;;1
24-1-1995;;;;3,957;;1
25-1-1995;;;;3,95;;1
26-1-1995;;;;4,016;;1
27-1-1995;;;;4,057;;1
30-1-1995;;;;4,05;;1
31-1-1995;;;;4,01;;1
1-2-1995;;;;4,078;;1
2-2-1995;;;;4,114;;1
3-2-1995;;;;4,128;;1
6-2-1995;;;;4,128;;1
7-2-1995;;;;4,149;;1
8-2-1995;;;;4,188;;1
9-2-1995;;;;4,175;;1
10-2-1995;;;;4,185;;1
13-2-1995;;;;4,206;;1
14-2-1995;;;;4,265;;1
15-2-1995;;;;4,28;;1
16-2-1995;;;;4,284;;1
17-2-1995;;;;4,35;;1
20-2-1995;;;;4,353;;1
21-2-1995;;;;4,375;;1
22-2-1995;;;;4,415;;1
23-2-1995;;;;4,427;;1
24-2-1995;;;;4,449;;1
27-2-1995;;;;4,448;;1
28-2-1995;;;;4,464;;1
1-3-1995;;;;4,541;;1
2-3-1995;;;;4,558;;1
3-3-1995;;;;4,594;;1
6-3-1995;;;;4,584;;1
7-3-1995;;;;4,618;;1
8-3-1995;;;;4,618;;1
9-3-1995;;;;4,652;;1
10-3-1995;;;;4,6835;;1
13-3-1995;;;;4,691;;1
14-3-1995;;;;4,76;;1
15-3-1995;;;;4,78;;1
16-3-1995;;;;4,777;;1
17-3-1995;;;;4,806;;1
20-3-1995;;;;4,812;;1
21-3-1995;;;;4,83;;1
22-3-1995;;;;4,851;;1
23-3-1995;;;;4,852;;1
24-3-1995;;;;4,866;;1
27-3-1995;;;;4,874;;1
28-3-1995;;;;4,884;;1
29-3-1995;;;;4,877;;1
30-3-1995;;;;4,894;;1
31-3-1995;;;;4,917;;1
3-4-1995;;;;4,896;;1
4-4-1995;;;;4,918;;1
5-4-1995;;;;4,943;;1
6-4-1995;;;;4,945;;1
7-4-1995;;;;4,96;;1
10-4-1995;;;;4,961;;1
11-4-1995;;;;4,99;;1
12-4-1995;;;;5,006;;1
13-4-1995;;;;5,023;;1
14-4-1995;;;;5,042;;1
17-4-1995;;;;5,048;;1
18-4-1995;;;;5,048;;1
19-4-1995;;;;5,046;;1
20-4-1995;;;;5,06;;1
21-4-1995;;;;5,064;;1
24-4-1995;;;;5,083;;1
25-4-1995;;;;5,087;;1
26-4-1995;;;;5,072;;1
27-4-1995;;;;5,12;;1
28-4-1995;;;;5,12;;1
1-5-1995;;;;5,135;;1
2-5-1995;;;;5,135;;1
3-5-1995;;;;5,149;;1
4-5-1995;;;;5,123;;1
5-5-1995;;;;5,115;;1
8-5-1995;;;;5,111;;1
9-5-1995;;;;5,111;;1
10-5-1995;;;;5,06;;1
11-5-1995;;;;5,08;;1
12-5-1995;;;;5,056;;1
15-5-1995;;;;5,008;;1
16-5-1995;;;;5,025;;1
17-5-1995;;;;5,051;;1
18-5-1995;;;;5,022;;1
19-5-1995;;;;5,027;;1
22-5-1995;;;;5,029;;1
23-5-1995;;;;5,051;;1
24-5-1995;;;;5,034;;1
25-5-1995;;;;5,013;;1
26-5-1995;;;;5,026;;1
29-5-1995;;;;4,994;;1
30-5-1995;;;;4,988;;1
31-5-1995;;;;4,992;;1
1-6-1995;;;;4,913;;1
2-6-1995;;;;4,911;;1
5-6-1995;;;;4,903;;1
6-6-1995;;;;4,912;;1
7-6-1995;;;;4,912;;1
8-6-1995;;;;4,884;;1
9-6-1995;;;;4,86;;1
12-6-1995;;;;4,86;;1
13-6-1995;;;;4,782;;1
14-6-1995;;;;4,765;;1
15-6-1995;;;;4,728;;1
16-6-1995;;;;4,637;;1
19-6-1995;;;;4,532;;1
20-6-1995;;;;4,572;;1
21-6-1995;;;;4,615;;1
22-6-1995;;;;4,69;;1
23-6-1995;;;;4,525;;1
26-6-1995;;;;4,532;;1
27-6-1995;;;;4,504;;1
28-6-1995;;;;4,53;;1
29-6-1995;;;;4,536;;1
30-6-1995;;;;4,537;;1
3-7-1995;;;;4,552;;1
4-7-1995;;;;4,565;;1
5-7-1995;;;;4,578;;1
6-7-1995;;;;4,597;;1
7-7-1995;;;;4,546;;1
10-7-1995;;;;4,516;;1
11-7-1995;;;;4,553;;1
12-7-1995;;;;4,557;;1
13-7-1995;;;;4,555;;1
14-7-1995;;;;4,547;;1
17-7-1995;;;;4,544;;1
18-7-1995;;;;4,523;;1
19-7-1995;;;;4,517;;1
20-7-1995;;;;4,492;;1
21-7-1995;;;;4,513;;1
24-7-1995;;;;4,482;;1
25-7-1995;;;;4,482;;1
26-7-1995;;;;4,42;;1
27-7-1995;;;;4,402;;1
28-7-1995;;;;4,435;;1
31-7-1995;;;;4,405;;1
1-8-1995;;;;4,404;;1
2-8-1995;;;;4,419;;1
3-8-1995;;;;4,41;;1
4-8-1995;;;;4,407;;1
7-8-1995;;;;4,39;;1
8-8-1995;;;;4,382;;1
9-8-1995;;;;4,4;;1
10-8-1995;;;;4,389;;1
11-8-1995;;;;4,385;;1
14-8-1995;;;;4,412;;1
15-8-1995;;;;4,411;;1
16-8-1995;;;;4,412;;1
17-8-1995;;;;4,404;;1
18-8-1995;;;;4,412;;1
21-8-1995;;;;4,416;;1
22-8-1995;;;;4,432;;1
23-8-1995;;;;4,44;;1
24-8-1995;;;;4,33;;1
25-8-1995;;;;4,457;;1
28-8-1995;;;;4,42;;1
29-8-1995;;;;4,455;;1
30-8-1995;;;;4,445;;1
31-8-1995;;;;4,457;;1
1-9-1995;;;;4,436;;1
4-9-1995;;;;4,44;;1
5-9-1995;;;;4,46;;1
6-9-1995;;;;4,473;;1
7-9-1995;;;;4,463;;1
8-9-1995;;;;4,464;;1
11-9-1995;;;;4,474;;1
12-9-1995;;;;4,471;;1
13-9-1995;;;;4,464;;1
14-9-1995;;;;4,458;;1
15-9-1995;;;;4,456;;1
18-9-1995;;;;4,4625;;1
19-9-1995;;;;4,461;;1
20-9-1995;;;;4,467;;1
21-9-1995;;;;4,475;;1
22-9-1995;;;;4,484;;1
25-9-1995;;;;4,49;;1
26-9-1995;;;;4,495;;1
27-9-1995;;;;4,5;;1
28-9-1995;;;;4,505;;1
29-9-1995;;;;4,4965;;1
2-10-1995;;;;4,487;;1
3-10-1995;;;;4,492;;1
4-10-1995;;;;4,4975;;1
5-10-1995;;;;4,49;;1
6-10-1995;;;;4,492;;1
9-10-1995;;;;4,498;;1
10-10-1995;;;;4,498;;1
11-10-1995;;;;4,498;;1
12-10-1995;;;;4,502;;1
13-10-1995;;;;4,512;;1
16-10-1995;;;;4,505;;1
17-10-1995;;;;4,51;;1
18-10-1995;;;;4,51;;1
19-10-1995;;;;4,507;;1
20-10-1995;;;;4,504;;1
23-10-1995;;;;4,509;;1
24-10-1995;;;;4,506;;1
25-10-1995;;;;4,507;;1
26-10-1995;;;;4,513;;1
27-10-1995;;;;4,515;;1
30-10-1995;;;;4,507;;1
31-10-1995;;;;4,508;;1
1-11-1995;;;;4,517;;1
2-11-1995;;;;4,5;;1
3-11-1995;;;;4,526;;1
6-11-1995;;;;4,524;;1
7-11-1995;;;;4,524;;1
8-11-1995;;;;4,525;;1
9-11-1995;;;;4,516;;1
10-11-1995;;;;4,522;;1
13-11-1995;;;;4,544;;1
14-11-1995;;;;4,537;;1
15-11-1995;;;;4,539;;1
16-11-1995;;;;4,555;;1
17-11-1995;;;;4,565;;1
20-11-1995;;;;4,566;;1
21-11-1995;;;;4,564;;1
22-11-1995;;;;4,58;;1
23-11-1995;;;;4,566;;1
24-11-1995;;;;4,583;;1
27-11-1995;;;;4,585;;1
28-11-1995;;;;4,588;;1
29-11-1995;;;;4,585;;1
30-11-1995;;;;4,576;;1
1-12-1995;;;;4,584;;1
4-12-1995;;;;4,586;;1
5-12-1995;;;;4,594;;1
6-12-1995;;;;4,595;;1
7-12-1995;;;;4,606;;1
8-12-1995;;;;4,615;;1
11-12-1995;;;;4,625;;1
12-12-1995;;;;4,63;;1
13-12-1995;;;;4,62;;1
14-12-1995;;;;4,638;;1
15-12-1995;;;;4,644;;1
18-12-1995;;;;4,65;;1
19-12-1995;;;;4,648;;1
20-12-1995;;;;4,633;;1
21-12-1995;;;;4,626;;1
22-12-1995;;;;4,654;;1
25-12-1995;;;;4,65;;1
26-12-1995;;;;4,639;;1
27-12-1995;;;;4,643;;1
28-12-1995;;;;4,638;;1
29-12-1995;;;;4,665;;1
2-1-1996;;;;4,651;;1
3-1-1996;;;;4,666;;1
4-1-1996;;;;4,665;;1
5-1-1996;4,675;4,675;4,662;4,673;;1
8-1-1996;;;;4,673;;1
9-1-1996;4,685;4,685;4,659;4,667;;1
10-1-1996;4,683;4,685;4,66;4,663;;1
11-1-1996;4,665;4,67;4,661;4,662;;1
12-1-1996;4,66;4,679;4,66;4,674;;1
15-1-1996;4,678;4,678;4,668;4,669;;1
16-1-1996;4,67;4,675;4,664;4,674;;1
17-1-1996;4,674;4,679;4,67;4,677;;1
18-1-1996;4,677;4,685;4,674;4,685;;1
19-1-1996;4,685;4,696;4,684;4,695;;1
22-1-1996;4,694;4,709;4,694;4,694;;1
23-1-1996;4,705;4,721;4,705;4,719;;1
24-1-1996;4,723;4,723;4,717;4,718;;1
25-1-1996;4,71;4,728;4,71;4,727;;1
26-1-1996;4,727;4,74;4,727;4,735;;1
29-1-1996;4,734;4,737;4,726;4,732;;1
30-1-1996;4,729;4,733;4,722;4,727;;1
31-1-1996;4,727;4,741;4,723;4,739;;1
1-2-1996;4,74;4,742;4,73;4,737;;1
2-2-1996;4,736;4,739;4,73;4,734;;1
5-2-1996;4,736;4,739;4,725;4,732;;1
