Date;Open;High;Low;Last;Volume;Status
2-1-1981;;;;2,093;;1
5-1-1981;;;;2,081;;1
6-1-1981;;;;2,08;;1
7-1-1981;;;;2,08;;1
8-1-1981;;;;2,0815;;1
9-1-1981;;;;2,0865;;1
12-1-1981;;;;2,0835;;1
13-1-1981;;;;2,0945;;1
14-1-1981;;;;2,0875;;1
15-1-1981;;;;2,085;;1
16-1-1981;;;;2,079;;1
19-1-1981;;;;2,0765;;1
20-1-1981;;;;2,072;;1
21-1-1981;;;;2,0675;;1
22-1-1981;;;;2,079;;1
23-1-1981;;;;2,082;;1
26-1-1981;;;;2,083;;1
27-1-1981;;;;2,079;;1
28-1-1981;;;;2,0725;;1
29-1-1981;;;;2,074;;1
30-1-1981;;;;2,088;;1
2-2-1981;;;;2,08;;1
3-2-1981;;;;2,08;;1
4-2-1981;;;;2,07;;1
5-2-1981;;;;2,073;;1
6-2-1981;;;;2,077;;1
9-2-1981;;;;2,074;;1
10-2-1981;;;;2,081;;1
11-2-1981;;;;2,0765;;1
13-2-1981;;;;2,095;;1
17-2-1981;;;;2,0965;;1
18-2-1981;;;;2,097;;1
19-2-1981;;;;2,093;;1
20-2-1981;;;;2,085;;1
23-2-1981;;;;2,092;;1
24-2-1981;;;;2,097;;1
25-2-1981;;;;2,0985;;1
26-2-1981;;;;2,096;;1
27-2-1981;;;;2,103;;1
2-3-1981;;;;2,108;;1
3-3-1981;;;;2,11;;1
4-3-1981;;;;2,1065;;1
5-3-1981;;;;2,1105;;1
6-3-1981;;;;2,109;;1
9-3-1981;;;;2,104;;1
10-3-1981;;;;2,1015;;1
11-3-1981;;;;2,1;;1
12-3-1981;;;;2,1115;;1
13-3-1981;;;;2,106;;1
16-3-1981;;;;2,101;;1
17-3-1981;;;;2,1;;1
18-3-1981;;;;2,081;;1
19-3-1981;;;;2,085;;1
20-3-1981;;;;2,088;;1
23-3-1981;;;;2,0995;;1
24-3-1981;;;;2,097;;1
25-3-1981;;;;2,091;;1
26-3-1981;;;;2,0945;;1
27-3-1981;;;;2,091;;1
30-3-1981;;;;2,0865;;1
31-3-1981;;;;2,091;;1
1-4-1981;;;;2,09;;1
2-4-1981;;;;2,093;;1
3-4-1981;;;;2,096;;1
6-4-1981;;;;2,099;;1
7-4-1981;;;;2,104;;1
8-4-1981;;;;2,102;;1
