Date;Open;High;Low;Last;Volume;Status
4-1-1971;;;;1,1127;;1
5-1-1971;;;;1,1132;;1
6-1-1971;;;;1,114;;1
7-1-1971;;;;1,1138;;1
8-1-1971;;;;1,1124;;1
11-1-1971;;;;1,1152;;1
12-1-1971;;;;1,1156;;1
13-1-1971;;;;1,1165;;1
14-1-1971;;;;1,1189;;1
15-1-1971;;;;1,1182;;1
18-1-1971;;;;1,1179;;1
19-1-1971;;;;1,1193;;1
20-1-1971;;;;1,1193;;1
21-1-1971;;;;1,1198;;1
22-1-1971;;;;1,1204;;1
25-1-1971;;;;1,1224;;1
26-1-1971;;;;1,123;;1
27-1-1971;;;;1,123;;1
28-1-1971;;;;1,1234;;1
29-1-1971;;;;1,1236;;1
1-2-1971;;;;1,1241;;1
2-2-1971;;;;1,124;;1
3-2-1971;;;;1,1241;;1
4-2-1971;;;;1,1233;;1
5-2-1971;;;;1,1224;;1
8-2-1971;;;;1,124;;1
9-2-1971;;;;1,1226;;1
10-2-1971;;;;1,1229;;1
11-2-1971;;;;1,1229;;1
16-2-1971;;;;1,1245;;1
17-2-1971;;;;1,1245;;1
18-2-1971;;;;1,1244;;1
19-2-1971;;;;1,1244;;1
22-2-1971;;;;1,1245;;1
23-2-1971;;;;1,1245;;1
24-2-1971;;;;1,1245;;1
25-2-1971;;;;1,1238;;1
26-2-1971;;;;1,123;;1
1-3-1971;;;;1,1231;;1
2-3-1971;;;;1,1241;;1
3-3-1971;;;;1,1245;;1
4-3-1971;;;;1,1239;;1
5-3-1971;;;;1,1241;;1
8-3-1971;;;;1,1245;;1
9-3-1971;;;;1,1244;;1
10-3-1971;;;;1,1245;;1
11-3-1971;;;;1,1243;;1
12-3-1971;;;;1,1245;;1
15-3-1971;;;;1,1245;;1
16-3-1971;;;;1,1241;;1
17-3-1971;;;;1,1246;;1
18-3-1971;;;;1,1244;;1
19-3-1971;;;;1,1244;;1
22-3-1971;;;;1,1245;;1
23-3-1971;;;;1,1245;;1
24-3-1971;;;;1,1246;;1
25-3-1971;;;;1,1241;;1
26-3-1971;;;;1,1243;;1
29-3-1971;;;;1,1246;;1
30-3-1971;;;;1,124;;1
31-3-1971;;;;1,1234;;1
1-4-1971;;;;1,1224;;1
2-4-1971;;;;1,1213;;1
5-4-1971;;;;1,123;;1
6-4-1971;;;;1,1243;;1
7-4-1971;;;;1,1234;;1
8-4-1971;;;;1,1233;;1
9-4-1971;;;;1,1233;;1
12-4-1971;;;;1,1234;;1
13-4-1971;;;;1,1233;;1
14-4-1971;;;;1,1239;;1
15-4-1971;;;;1,1242;;1
16-4-1971;;;;1,1242;;1
19-4-1971;;;;1,1245;;1
20-4-1971;;;;1,1245;;1
21-4-1971;;;;1,1246;;1
22-4-1971;;;;1,1242;;1
23-4-1971;;;;1,1243;;1
26-4-1971;;;;1,1243;;1
27-4-1971;;;;1,1244;;1
28-4-1971;;;;1,1246;;1
29-4-1971;;;;1,1245;;1
30-4-1971;;;;1,1245;;1
3-5-1971;;;;1,1243;;1
4-5-1971;;;;1,1242;;1
5-5-1971;;;;1,1246;;1
6-5-1971;;;;1,1242;;1
7-5-1971;;;;1,1243;;1
10-5-1971;;;;1,1236;;1
