Date;usdeur
2-1-1975;1.3101
3-1-1975;1.3184
6-1-1975;1.3291
7-1-1975;1.3316
8-1-1975;1.3238
9-1-1975;1.3243
10-1-1975;1.3273
13-1-1975;1.3263
14-1-1975;1.3179
15-1-1975;1.3224
16-1-1975;1.3252
17-1-1975;1.3268
20-1-1975;1.3328
21-1-1975;1.3356
22-1-1975;1.3484
23-1-1975;1.3506
24-1-1975;1.3543
27-1-1975;1.3654
28-1-1975;1.3592
29-1-1975;1.3461
30-1-1975;1.3481
31-1-1975;1.3472
3-2-1975;1.3423
4-2-1975;1.3301
5-2-1975;1.331
6-2-1975;1.3342
7-2-1975;1.3374
10-2-1975;1.3439
11-2-1975;1.3444
12-2-1975;1.3464
13-2-1975;1.3545
14-2-1975;1.3546
17-2-1975;1.3585
18-2-1975;1.3576
19-2-1975;1.3559
20-2-1975;1.3631
21-2-1975;1.3641
24-2-1975;1.3732
25-2-1975;1.3691
26-2-1975;1.3782
27-2-1975;1.3841
28-2-1975;1.3847
3-3-1975;1.3862
4-3-1975;1.3787
5-3-1975;1.3801
6-3-1975;1.3744
7-3-1975;1.3615
10-3-1975;1.3622
11-3-1975;1.3719
12-3-1975;1.3628
13-3-1975;1.3644
14-3-1975;1.3682
17-3-1975;1.3687
18-3-1975;1.374
19-3-1975;1.3776
20-3-1975;1.3729
21-3-1975;1.3686
24-3-1975;1.3648
25-3-1975;1.3631
26-3-1975;1.36
27-3-1975;1.3561
1-4-1975;1.3604
2-4-1975;1.3607
3-4-1975;1.3559
4-4-1975;1.3455
7-4-1975;1.3463
8-4-1975;1.3504
9-4-1975;1.3497
10-4-1975;1.341
11-4-1975;1.3425
14-4-1975;1.3385
15-4-1975;1.3434
16-4-1975;1.3448
17-4-1975;1.3454
18-4-1975;1.3459
21-4-1975;1.3439
22-4-1975;1.3464
23-4-1975;1.3552
24-4-1975;1.3535
25-4-1975;1.3481
28-4-1975;1.345
29-4-1975;1.3503
30-4-1975;1.3524
1-5-1975;1.353
2-5-1975;1.3504
5-5-1975;1.3554
6-5-1975;1.3567
7-5-1975;1.3613
8-5-1975;1.3682
9-5-1975;1.3648
12-5-1975;1.3641
13-5-1975;1.3755
14-5-1975;1.3723
15-5-1975;1.3618
16-5-1975;1.3643
19-5-1975;1.368
20-5-1975;1.3676
21-5-1975;1.3751
22-5-1975;1.3785
23-5-1975;1.3776
27-5-1975;1.3784
28-5-1975;1.3791
29-5-1975;1.3748
30-5-1975;1.3708
2-6-1975;1.3714
3-6-1975;1.3767
4-6-1975;1.3742
5-6-1975;1.3746
6-6-1975;1.3731
9-6-1975;1.3712
10-6-1975;1.3734
11-6-1975;1.3765
12-6-1975;1.3774
13-6-1975;1.3757
16-6-1975;1.3778
17-6-1975;1.3789
18-6-1975;1.3753
19-6-1975;1.374
20-6-1975;1.3748
23-6-1975;1.3716
24-6-1975;1.371
25-6-1975;1.3719
26-6-1975;1.3702
27-6-1975;1.3663
30-6-1975;1.3622
1-7-1975;1.3576
2-7-1975;1.3461
3-7-1975;1.3441
4-7-1975;1.3425
7-7-1975;1.3358
8-7-1975;1.3392
9-7-1975;1.3407
10-7-1975;1.3314
11-7-1975;1.3243
14-7-1975;1.3189
15-7-1975;1.3187
16-7-1975;1.3077
17-7-1975;1.3026
18-7-1975;1.2968
21-7-1975;1.2903
22-7-1975;1.292
23-7-1975;1.2791
24-7-1975;1.2786
25-7-1975;1.2816
28-7-1975;1.2728
29-7-1975;1.2689
30-7-1975;1.2649
31-7-1975;1.2637
1-8-1975;1.2636
4-8-1975;1.2642
5-8-1975;1.2705
6-8-1975;1.2657
7-8-1975;1.258
8-8-1975;1.2596
11-8-1975;1.2572
12-8-1975;1.2571
13-8-1975;1.2585
14-8-1975;1.2606
15-8-1975;1.2615
18-8-1975;1.2634
19-8-1975;1.2687
20-8-1975;1.2663
21-8-1975;1.266
22-8-1975;1.2645
26-8-1975;1.2609
27-8-1975;1.2604
28-8-1975;1.2596
29-8-1975;1.2582
1-9-1975;1.2558
2-9-1975;1.2568
3-9-1975;1.2601
4-9-1975;1.2571
5-9-1975;1.2563
8-9-1975;1.2564
9-9-1975;1.2575
10-9-1975;1.2542
11-9-1975;1.253
12-9-1975;1.2509
15-9-1975;1.2494
16-9-1975;1.2416
17-9-1975;1.2355
18-9-1975;1.2324
19-9-1975;1.2299
22-9-1975;1.2209
23-9-1975;1.2129
24-9-1975;1.2173
25-9-1975;1.2234
26-9-1975;1.2192
29-9-1975;1.2146
30-9-1975;1.2243
1-10-1975;1.2361
2-10-1975;1.2367
3-10-1975;1.229
6-10-1975;1.2361
7-10-1975;1.2419
8-10-1975;1.2385
9-10-1975;1.2418
10-10-1975;1.2517
13-10-1975;1.2571
14-10-1975;1.2449
15-10-1975;1.2545
16-10-1975;1.259
17-10-1975;1.2566
20-10-1975;1.2564
21-10-1975;1.2583
22-10-1975;1.2633
23-10-1975;1.2612
24-10-1975;1.261
27-10-1975;1.2587
28-10-1975;1.2572
29-10-1975;1.2572
30-10-1975;1.2634
31-10-1975;1.2636
3-11-1975;1.2641
4-11-1975;1.2612
5-11-1975;1.2566
6-11-1975;1.2602
7-11-1975;1.2598
10-11-1975;1.2591
11-11-1975;1.2571
12-11-1975;1.2582
13-11-1975;1.2555
14-11-1975;1.2486
17-11-1975;1.239
18-11-1975;1.2407
19-11-1975;1.2433
20-11-1975;1.2488
21-11-1975;1.2435
24-11-1975;1.2429
25-11-1975;1.2441
26-11-1975;1.2393
27-11-1975;1.2375
28-11-1975;1.2346
1-12-1975;1.2367
2-12-1975;1.239
3-12-1975;1.2381
4-12-1975;1.2392
5-12-1975;1.2376
8-12-1975;1.2375
9-12-1975;1.2341
10-12-1975;1.2349
11-12-1975;1.2346
12-12-1975;1.2329
15-12-1975;1.23
16-12-1975;1.2311
17-12-1975;1.233
18-12-1975;1.2355
19-12-1975;1.2366
22-12-1975;1.2375
23-12-1975;1.2389
24-12-1975;1.2404
29-12-1975;1.2355
30-12-1975;1.2352
31-12-1975;1.2356
2-1-1976;1.2356
5-1-1976;1.2425
6-1-1976;1.243
7-1-1976;1.2438
8-1-1976;1.243
9-1-1976;1.2407
12-1-1976;1.2404
13-1-1976;1.2378
14-1-1976;1.2402
15-1-1976;1.2398
16-1-1976;1.2387
19-1-1976;1.2392
20-1-1976;1.237
21-1-1976;1.2293
22-1-1976;1.2231
23-1-1976;1.2252
26-1-1976;1.2267
27-1-1976;1.2267
28-1-1976;1.2255
29-1-1976;1.224
30-1-1976;1.2228
2-2-1976;1.2273
3-2-1976;1.2249
4-2-1976;1.2285
5-2-1976;1.2277
6-2-1976;1.2262
9-2-1976;1.2209
10-2-1976;1.221
11-2-1976;1.2247
12-2-1976;1.2231
13-2-1976;1.2201
16-2-1976;1.2177
17-2-1976;1.2142
18-2-1976;1.217
19-2-1976;1.2177
20-2-1976;1.2142
23-2-1976;1.2124
24-2-1976;1.2127
25-2-1976;1.2127
26-2-1976;1.214
27-2-1976;1.2127
1-3-1976;1.2077
2-3-1976;1.2055
3-3-1976;1.2064
4-3-1976;1.2028
5-3-1976;1.2022
8-3-1976;1.2035
9-3-1976;1.2026
10-3-1976;1.1999
11-3-1976;1.1965
12-3-1976;1.1953
15-3-1976;1.1876
16-3-1976;1.1816
17-3-1976;1.1806
18-3-1976;1.1829
19-3-1976;1.1868
22-3-1976;1.1885
23-3-1976;1.1871
24-3-1976;1.1878
25-3-1976;1.1884
26-3-1976;1.1862
29-3-1976;1.1858
30-3-1976;1.1905
31-3-1976;1.1906
1-4-1976;1.1927
2-4-1976;1.1869
5-4-1976;1.1879
6-4-1976;1.1876
7-4-1976;1.1851
8-4-1976;1.1864
9-4-1976;1.1829
12-4-1976;1.1774
