Date;Last
4-1-1971;23,938
5-1-1971;23,949
6-1-1971;23,967
7-1-1971;23,963
8-1-1971;23,972
11-1-1971;23,992
12-1-1971;24,001
13-1-1971;24,021
14-1-1971;24,071
15-1-1971;24,057
18-1-1971;24,052
19-1-1971;24,081
20-1-1971;2,408
21-1-1971;24,092
22-1-1971;24,103
25-1-1971;24,147
26-1-1971;2,416
27-1-1971;24,161
28-1-1971;24,169
29-1-1971;24,174
1-2-1971;24,184
2-2-1971;24,181
3-2-1971;24,184
4-2-1971;24,167
5-2-1971;24,147
8-2-1971;24,182
9-2-1971;24,151
10-2-1971;24,159
11-2-1971;24,158
16-2-1971;24,193
17-2-1971;24,193
18-2-1971;24,191
19-2-1971;2,419
22-2-1971;24,192
23-2-1971;24,193
24-2-1971;24,193
25-2-1971;24,177
26-2-1971;2,416
1-3-1971;24,162
2-3-1971;24,184
3-3-1971;24,193
4-3-1971;24,179
5-3-1971;24,183
8-3-1971;24,192
9-3-1971;24,188
10-3-1971;24,192
11-3-1971;24,188
12-3-1971;24,193
15-3-1971;24,193
16-3-1971;24,183
17-3-1971;24,194
18-3-1971;2,419
19-3-1971;2,419
22-3-1971;24,193
23-3-1971;24,193
24-3-1971;24,194
25-3-1971;24,185
26-3-1971;24,188
29-3-1971;24,194
30-3-1971;24,181
31-3-1971;24,168
1-4-1971;24,147
2-4-1971;24,125
5-4-1971;24,161
6-4-1971;24,189
7-4-1971;2,417
8-4-1971;24,167
9-4-1971;24,167
12-4-1971;24,169
13-4-1971;24,167
14-4-1971;2,418
15-4-1971;24,187
16-4-1971;24,186
19-4-1971;24,193
20-4-1971;24,193
21-4-1971;24,196
22-4-1971;24,187
23-4-1971;24,189
26-4-1971;24,188
27-4-1971;2,419
28-4-1971;24,195
29-4-1971;24,192
30-4-1971;24,193
3-5-1971;24,189
4-5-1971;24,185
5-5-1971;24,194
6-5-1971;24,185
7-5-1971;24,188
10-5-1971;24,173
11-5-1971;2,417
12-5-1971;24,183
13-5-1971;24,183
14-5-1971;24,186
17-5-1971;24,193
18-5-1971;2,419
19-5-1971;24,194
20-5-1971;24,193
21-5-1971;24,194
24-5-1971;24,194
25-5-1971;2,419
26-5-1971;24,194
27-5-1971;24,187
28-5-1971;24,178
1-6-1971;24,162
2-6-1971;2,417
3-6-1971;24,188
4-6-1971;2,419
7-6-1971;24,192
8-6-1971;24,188
9-6-1971;24,194
10-6-1971;24,193
11-6-1971;24,194
14-6-1971;24,186
15-6-1971;24,187
16-6-1971;24,193
17-6-1971;24,189
18-6-1971;24,191
21-6-1971;24,191
22-6-1971;2,419
23-6-1971;24,195
24-6-1971;24,191
25-6-1971;24,191
28-6-1971;24,185
29-6-1971;2,419
30-6-1971;24,196
1-7-1971;2,419
2-7-1971;2,419
6-7-1971;24,181
7-7-1971;24,187
8-7-1971;24,185
9-7-1971;24,183
12-7-1971;24,182
13-7-1971;2,418
14-7-1971;24,187
15-7-1971;24,187
16-7-1971;24,189
19-7-1971;24,183
20-7-1971;24,182
21-7-1971;24,191
22-7-1971;24,188
23-7-1971;2,419
26-7-1971;2,418
27-7-1971;24,178
28-7-1971;24,185
29-7-1971;24,184
30-7-1971;24,184
2-8-1971;24,175
3-8-1971;2,417
4-8-1971;24,193
5-8-1971;24,183
6-8-1971;24,185
9-8-1971;24,192
10-8-1971;24,187
11-8-1971;24,197
12-8-1971;24,196
13-8-1971;24,195
23-8-1971;2,435
24-8-1971;24,447
25-8-1971;24,589
26-8-1971;24,723
27-8-1971;24,693
30-8-1971;24,677
31-8-1971;24,535
1-9-1971;24,541
2-9-1971;24,576
3-9-1971;2,459
7-9-1971;24,583
8-9-1971;24,584
9-9-1971;24,587
10-9-1971;24,592
13-9-1971;24,602
14-9-1971;2,467
15-9-1971;24,709
16-9-1971;2,471
17-9-1971;2,472
20-9-1971;24,743
21-9-1971;24,733
22-9-1971;2,474
23-9-1971;24,805
24-9-1971;24,825
27-9-1971;24,803
28-9-1971;24,782
29-9-1971;24,838
30-9-1971;24,847
1-10-1971;24,892
4-10-1971;24,889
5-10-1971;24,894
6-10-1971;24,882
7-10-1971;24,894
8-10-1971;24,802
12-10-1971;24,895
13-10-1971;24,891
14-10-1971;24,806
15-10-1971;24,889
18-10-1971;24,894
19-10-1971;24,893
20-10-1971;24,912
21-10-1971;24,921
22-10-1971;24,927
26-10-1971;2,494
27-10-1971;24,945
28-10-1971;24,938
29-10-1971;24,914
1-11-1971;24,927
3-11-1971;2,493
4-11-1971;24,928
5-11-1971;24,936
8-11-1971;24,931
9-11-1971;24,926
10-11-1971;24,925
11-11-1971;24,934
12-11-1971;24,937
15-11-1971;2,493
16-11-1971;24,929
17-11-1971;24,938
18-11-1971;24,935
19-11-1971;24,938
22-11-1971;24,937
23-11-1971;24,939
24-11-1971;24,935
26-11-1971;24,937
29-11-1971;24,938
30-11-1971;24,937
1-12-1971;24,939
2-12-1971;2,493
3-12-1971;24,985
