Date;Open;High;Low;Last;Volume;Status
4-1-1971;;;;1,1138;;1
5-1-1971;;;;1,1143;;1
6-1-1971;;;;1,1151;;1
7-1-1971;;;;1,115;;1
8-1-1971;;;;1,1154;;1
11-1-1971;;;;1,1163;;1
12-1-1971;;;;1,1167;;1
13-1-1971;;;;1,1177;;1
14-1-1971;;;;1,12;;1
15-1-1971;;;;1,1193;;1
18-1-1971;;;;1,1191;;1
19-1-1971;;;;1,1205;;1
20-1-1971;;;;1,1204;;1
21-1-1971;;;;1,121;;1
22-1-1971;;;;1,1215;;1
25-1-1971;;;;1,1236;;1
26-1-1971;;;;1,1241;;1
27-1-1971;;;;1,1242;;1
28-1-1971;;;;1,1246;;1
29-1-1971;;;;1,1248;;1
1-2-1971;;;;1,1253;;1
2-2-1971;;;;1,1251;;1
3-2-1971;;;;1,1253;;1
4-2-1971;;;;1,1245;;1
5-2-1971;;;;1,1235;;1
8-2-1971;;;;1,1252;;1
9-2-1971;;;;1,1237;;1
10-2-1971;;;;1,1241;;1
11-2-1971;;;;1,124;;1
16-2-1971;;;;1,1257;;1
17-2-1971;;;;1,1257;;1
18-2-1971;;;;1,1256;;1
19-2-1971;;;;1,1255;;1
22-2-1971;;;;1,1256;;1
23-2-1971;;;;1,1257;;1
24-2-1971;;;;1,1257;;1
25-2-1971;;;;1,1249;;1
26-2-1971;;;;1,1241;;1
1-3-1971;;;;1,1242;;1
2-3-1971;;;;1,1253;;1
3-3-1971;;;;1,1257;;1
4-3-1971;;;;1,125;;1
5-3-1971;;;;1,1252;;1
8-3-1971;;;;1,1256;;1
9-3-1971;;;;1,1256;;1
10-3-1971;;;;1,1256;;1
11-3-1971;;;;1,1254;;1
12-3-1971;;;;1,1257;;1
15-3-1971;;;;1,1257;;1
16-3-1971;;;;1,1252;;1
17-3-1971;;;;1,1257;;1
18-3-1971;;;;1,1255;;1
19-3-1971;;;;1,1255;;1
22-3-1971;;;;1,1257;;1
23-3-1971;;;;1,1257;;1
24-3-1971;;;;1,1257;;1
25-3-1971;;;;1,1253;;1
26-3-1971;;;;1,1254;;1
29-3-1971;;;;1,1257;;1
30-3-1971;;;;1,1251;;1
31-3-1971;;;;1,1245;;1
1-4-1971;;;;1,1235;;1
