Date,cpi_monthlygrowth
2000-01-01,0.365801
2000-02-01,0.167599
2000-03-01,0.278705
2000-04-01,0.141766
2000-05-01,0.279827
2000-06-01,0.248444
2000-07-01,0.25429
2000-08-01,0.303936
2000-09-01,0.167353
2000-10-01,0.222908
2000-11-01,0.228572
2000-12-01,0.284823
2001-01-01,0.273998
2001-02-01,0.26465
2001-03-01,0.261035
2001-04-01,0.267784
2001-05-01,0.263845
2001-06-01,0.372414
2001-07-01,0.261328
2001-08-01,0.347134
2001-09-01,0.29879
2001-10-01,0.314436
2001-11-01,0.343658
2001-12-01,0.249192
2002-01-01,0.267203
2002-02-01,0.235938
2002-03-01,0.204255
2002-04-01,0.265227
2002-05-01,0.250048
2002-06-01,0.166696
2002-07-01,0.283549
2002-08-01,0.233157
2002-09-01,0.182764
2002-10-01,0.22709
2002-11-01,0.232965
2002-12-01,0.217654
2003-01-01,0.253277
2003-02-01,0.155102
2003-03-01,0.129254
2003-04-01,0.100667
2003-05-01,0.141434
2003-06-01,0.091543
2003-07-01,0.249875
2003-08-01,0.162888
2003-09-01,0.201115
2003-10-01,0.204399
2003-11-01,0.110795
2003-12-01,0.15835
2004-01-01,0.238048
2004-02-01,0.240968
2004-03-01,0.216506
2004-04-01,0.21896
2004-05-01,0.121948
2004-06-01,0.230194
2004-07-01,0.136644
2004-08-01,0.15689
2004-09-01,0.183939
2004-10-01,0.201477
2004-11-01,0.173458
2004-12-01,0.170757
2005-01-01,0.240012
2005-02-01,0.211924
2005-03-01,0.177225
2005-04-01,0.212657
2005-05-01,0.237732
2005-06-01,0.074891
2005-07-01,0.236315
2005-08-01,0.120986
2005-09-01,0.252192
2005-10-01,0.192886
2005-11-01,0.277585
2005-12-01,0.2073
2006-01-01,0.22239
2006-02-01,0.259106
2006-03-01,0.257332
2006-04-01,0.309834
2006-05-01,0.338542
2006-06-01,0.31876
2006-07-01,0.294266
2006-08-01,0.24832
2006-09-01,0.239467
2006-10-01,0.269684
2006-11-01,0.13889
2006-12-01,0.183884
2007-01-01,0.243358
2007-02-01,0.274487
2007-03-01,0.206255
2007-04-01,0.171399
2007-05-01,0.159843
2007-06-01,0.169677
2007-07-01,0.200512
2007-08-01,0.183693
2007-09-01,0.254475
2007-10-01,0.288706
2007-11-01,0.288404
2007-12-01,0.238891
2008-01-01,0.276840000
2008-02-01,0.147152
2008-03-01,0.276760000
2008-04-01,0.206852
2008-05-01,0.226761
2008-06-01,0.309957
2008-07-01,0.275035
2008-08-01,0.252014
2008-09-01,0.246863
2008-10-01,0.145212
2008-11-01,0.149334
2008-12-01,0.086726
2009-01-01,0.200451
2009-02-01,0.154229
2009-03-01,0.173205
2009-04-01,0.131114
2009-05-01,0.141278
2009-06-01,0.114871
2009-07-01,0.110976
2009-08-01,0.101844
2009-09-01,0.094875
2009-10-01,0.051686
2009-11-01,0.001849
2009-12-01,0.040687
2010-01-01,0.054232
2010-02-01,0.033309
2010-03-01,0.051269
2010-04-01,0.075748
2010-05-01,0.065670000
2010-06-01,0.099940000
2010-07-01,0.075970000
2010-08-01,0.048226
2010-09-01,0.067027
2010-10-01,0.059292
2010-11-01,0.151576
2010-12-01,0.051700000
2011-01-01,0.176213
2011-02-01,0.195650000
2011-03-01,0.112829
2011-04-01,0.104873
2011-05-01,0.110994
2011-06-01,0.137167
2011-07-01,0.199040000
2011-08-01,0.278409
2011-09-01,0.135774
2011-10-01,0.171965
2011-11-01,0.150939
2011-12-01,0.255194
2012-01-01,0.243043
2012-02-01,0.099750000
2012-03-01,0.217405
2012-04-01,0.172543
2012-05-01,0.106970000
2012-06-01,0.187204
2012-07-01,0.219529
2012-08-01,0.190361
2012-09-01,0.182891
2012-10-01,0.159355
2012-11-01,0.140078
2012-12-01,0.170576
2013-01-01,0.202368
2013-02-01,0.175971
2013-03-01,0.172161
2013-04-01,0.011177
2013-05-01,0.079830000
2013-06-01,0.156552
2013-07-01,0.210931
2013-08-01,0.235939
2013-09-01,0.159496
2013-10-01,0.138038
2013-11-01,0.164016
