Date,manufac
2000-01-01,144856
2000-02-01,130377
2000-03-01,137161
2000-04-01,139928
2000-05-01,135833
2000-06-01,165607
2000-07-01,137103
2000-08-01,138771
2000-09-01,145618
2000-10-01,134557
2000-11-01,139206
2000-12-01,137810
2001-01-01,129101
2001-02-01,130032
2001-03-01,131606
2001-04-01,123025
2001-05-01,126796
2001-06-01,126051
2001-07-01,120027
2001-08-01,120481
2001-09-01,115746
2001-10-01,122937
2001-11-01,114240
2001-12-01,114782
2002-01-01,112406.0
2002-02-01,122233.0
2002-03-01,118940.0
2002-04-01,118664.0
2002-05-01,119235.0
2002-06-01,113950.0
2002-07-01,120438.0
2002-08-01,122932.0
2002-09-01,115066.0
2002-10-01,115754.0
2002-11-01,117084.0
2002-12-01,112831.0
2003-01-01,116048.0
2003-02-01,121274.0
2003-03-01,119034.0
2003-04-01,117051.0
2003-05-01,118306.0
2003-06-01,119931.0
2003-07-01,117404.0
2003-08-01,119296.0
2003-09-01,121830.0
2003-10-01,127269.0
2003-11-01,125879.0
2003-12-01,126251.0
2004-01-01,124471.0
2004-02-01,126174.0
2004-03-01,132836.0
2004-04-01,127885.0
2004-05-01,128297.0
2004-06-01,129908.0
2004-07-01,134104.0
2004-08-01,127182.0
2004-09-01,132132.0
2004-10-01,129177.0
2004-11-01,135582.0
2004-12-01,135216.0
2005-01-01,137025.0
2005-02-01,138279.0
2005-03-01,130044.0
2005-04-01,135587.0
2005-05-01,148200.0
2005-06-01,151407.0
2005-07-01,136292.0
2005-08-01,145606.0
2005-09-01,142335.0
2005-10-01,148450.0
2005-11-01,160126.0
2005-12-01,159419.0
2006-01-01,146814.0
2006-02-01,156798.0
2006-03-01,163893.0
2006-04-01,154052.0
2006-05-01,153173.0
2006-06-01,158892.0
2006-07-01,152012.0
2006-08-01,150763.0
2006-09-01,176642.0
2006-10-01,158286.0
2006-11-01,165969.0
2006-12-01,166342.0
2007-01-01,163751
2007-02-01,161671
2007-03-01,169322
2007-04-01,173518
2007-05-01,168025
2007-06-01,168611
2007-07-01,172388
2007-08-01,174874
2007-09-01,167739
2007-10-01,171492
2007-11-01,168015
2007-12-01,186161
2008-01-01,180937
2008-02-01,177311
2008-03-01,179954
2008-04-01,175116
2008-05-01,172674
2008-06-01,174406
2008-07-01,167115
2008-08-01,161832
2008-09-01,162265
2008-10-01,141208
2008-11-01,132791
2008-12-01,127770
2009-01-01,108060
2009-02-01,105786
2009-03-01,103874
2009-04-01,105714
2009-05-01,108460
2009-06-01,107285
2009-07-01,111891
2009-08-01,114790
2009-09-01,114607
2009-10-01,117510
2009-11-01,115535
2009-12-01,115220
2010-01-01,134068
2010-02-01,135156
2010-03-01,135916
2010-04-01,135504
2010-05-01,141747
2010-06-01,137251
2010-07-01,137391
2010-08-01,141407
2010-09-01,151095
2010-10-01,142783
2010-11-01,147906
2010-12-01,143125
2011-01-01,152922
2011-02-01,146046
2011-03-01,160009
2011-04-01,150734
2011-05-01,157155
2011-06-01,150694
2011-07-01,153291
2011-08-01,164357
2011-09-01,153647
2011-10-01,157127
2011-11-01,162380
2011-12-01,170486
2012-01-01,171132
2012-02-01,171804
2012-03-01,166352
2012-04-01,161545
2012-05-01,162417
2012-06-01,160849
2012-07-01,164835
2012-08-01,145633
2012-09-01,161858
2012-10-01,164091
2012-11-01,160510
2012-12-01,172843
2013-01-01,165087
2013-02-01,174434
2013-03-01,157502
2013-04-01,166395
2013-05-01,176059
2013-06-01,186438
2013-07-01,159979
2013-08-01,165813
2013-09-01,178483
2013-10-01,171591
2013-11-01,178802
2013-12-01,175566
2014-01-01,165024
2014-02-01,170686
2014-03-01,172815
2014-04-01,176105
2014-05-01,170049
2014-06-01,175787
2014-07-01,232542
2014-08-01,173888
2014-09-01,172233
2014-10-01,168002
2014-11-01,164859
2014-12-01,160393
2015-01-01,162304
2015-02-01,156142
2015-03-01,162973
2015-04-01,161233
2015-05-01,152817
2015-06-01,163579
2015-07-01,158451
2015-08-01,157681
2015-09-01,151617
2015-10-01,160475
2015-11-01,158117
2015-12-01,152563
2016-01-01,161897
2016-02-01,151444
