"","Date","Y_ndx_loss","ndx_loss_l1","ndx_loss_l2","ndx_price","ndx_vol","aex_return","gdaxi_return","hsi_return","topx_return","rut_return","ssec_return","irts_return","n100_return","vix_return","mktrf","smb","hml","rmw","cma","rf","umd","dxy_return","oil_return","gold_return","wheat_return","silver_return","natgas_return","libor_1m","libor_3m","libor_6m","fedrate","baa10y","ust1m","ust3m","ust1y","ust2y","ust5y","ust10y","ust20y","ust30y","capacity_monthly","capacity_yoy","energy_monthly","energy_yoy","housing_monthly","housing_yoy","unemp_monthly","unemp_yoy","manufac_monthly","manufac_yoy","m2_monthly","m2_yoy","indpro_monthly","indpro_yoy","cpi_monthly","cpi_yoy","gdp_quarterly","gdp_yoy"
"1",11534,-2.72747251441843,-0.813159045047091,0.781259283023806,1729.53,1784220000,0.912167132558488,1.19125926463048,1.9031725886225,1.86562374305739,0.0144416248891075,-1.86552386189247,-1.85166649984986,0.893188567186332,-4.71573359560451,0.5,-0.55,0.18,0.22,0.19,0.014,0.12,-0.0170648464163789,0.375939849624052,0.60468631897202,0.541516245487365,0.477326968973737,-1.69997017596184,3.75,3.67,3.68875,3.82,2.78,3.67,3.54,3.53,3.79,4.57,5.07,5.61,5.51,-0.825066427592288,-7.13390597625072,-3.07698028031651,-5.82749597387953,1.93146417445483,4.93906350224503,4.65116279069768,12.5,-0.587557967128301,-23.885463778705,0.789012273524255,8.4182069659248,-0.542889969498442,-3.48347876947689,0.372414,3.2118098,1.22985825241105,3.42788444649152
"2",11535,-1.26739634467168,-2.72747251441843,-0.813159045047091,1751.45,1675930000,0.566773582154836,-0.442913469790265,1.31569439516623,1.38955398173585,0.920004950699294,3.4686963305036,-0.530287579033241,0.564510565890235,-4.90287673899736,0.48,0.26,0.04,-0.82,-1,0.013,-1,-0.529100529100533,0.486891385767787,0.450788880540942,-1.43626570915619,0.166270783847973,-6.52305825242718,3.74,3.65625,3.66875,3.79,2.76,3.65,3.53,3.56,3.83,4.62,5.11,5.63,5.53,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
"3",11536,1.45879128721916,-1.26739634467168,-2.72747251441843,1725.9,1245120000,-0.346121088016252,-0.99310567021351,-0.0991285979193331,2.35406222811452,-0.051099664786199,-1.50508725026776,0.67151937666597,-0.557911945946576,-2.28598746527177,0.33,-0.33,0.08,0.04,-0.33,0.013,-0.85,-0.24021962937543,3.83898620946702,0,-1.82149362477231,0.071140621294762,3.60272638753652,3.73,3.65,3.66,3.68,2.74,3.65,3.53,3.57,3.89,4.69,5.17,5.68,5.57,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
"4",11540,0.379953489464661,1.33611449099022,1.45879128721916,1696.37,1318020000,0.233993551358817,0.177130623374266,-0.980269099231568,-0.104924913109054,-1.27065585548599,-3.90903725547457,-1.49276621849599,0.551566845479829,10.055304678497,-1.16,-0.12,0.81,0.04,0.57,0.013,0.48,0.241088341656622,0.690657942566331,-0.298618887644627,0.0944287063267233,-0.830761927367675,1.88488724335241,3.72,3.65,3.66,3.73,2.75,3.62,3.52,3.56,3.88,4.71,5.19,5.7,5.59,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
"5",11541,4.13647965950824,0.379953489464661,1.33611449099022,1626.2,1661690000,0.290430498878725,0.112599285768986,-1.1657108803249,0.47101687126633,-0.130988023952095,1.15858343171499,-1.71778504333385,-0.107625186608194,-4.02009611786642,0.21,-0.34,0.16,0.72,0.43,0.013,0.42,0.352173166122656,1.69675090252708,0.0374391613627727,0.754716981132076,-0.478697941598841,-1.85001651800463,3.71,3.64375,3.655,3.69,2.74,3.63,3.52,3.56,3.9,4.72,5.2,5.71,5.6,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
"6",11542,-0.167261099495759,4.13647965950824,0.379953489464661,1628.92,1457150000,-0.920087976539586,-2.39895280494949,-0.409587921903462,-0.527613976053189,-1.6051464618075,-0.460258034425595,0.506917309113955,-1.08436247364396,6.23512613041408,-1.72,0.28,0.68,1.05,1.13,0.013,1.33,-0.248223915090295,-1.95243166489173,0.261976047904187,0.561797752808989,-0.481000481000492,2.18781555031976,3.70625,3.6375,3.66,3.75,2.88,3.61,3.49,3.46,3.77,4.61,4.99,5.61,5.52,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
"7",11543,0.704147533334972,-0.167261099495759,4.13647965950824,1617.45,1372690000,-1.31155425653928,-1.82081784519042,-2.01739252601394,-2.70789542827115,0.327959036858366,1.55242091866213,0.640958285173899,-1.7556393619264,-2.55376344086022,-0.06,0.34,-0.51,0.37,0.09,0.013,0.43,-1.10691608031578,0.362056480810999,2.05300485255692,0.931098696461825,1.61913968100532,-2.63504611330699,3.6725,3.595,3.6,3.77,2.84,3.61,3.45,3.48,3.77,4.66,5.04,5.64,5.54,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
"8",11547,1.41053790366969,-2.21459705091347,0.704147533334972,1629.95,1231860000,0.437661529174279,0.373240771585126,-0.607862952061937,-1.30233659481265,0.437415881561247,0.00327359700792471,-0.344987384789669,1.04969519160244,-0.632598570929361,0.23,0.14,-0.14,-0.4,-0.18,0.013,-0.15,-0.242865816636309,-0.960170697012801,0.657174151150059,0.462534690101758,0.0241837968561145,-1.34868421052631,3.64,3.57,3.56938,3.79,2.89,3.57,3.45,3.43,3.7,4.57,4.97,5.6,5.52,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
"9",11548,3.55348323568208,1.41053790366969,-2.21459705091347,1572.03,1463930000,1.06121222366221,1.22740782981313,2.53730666846811,2.72215510371951,0.542294807370179,-0.795764922510357,1.45189624883745,0.897191813422189,0.293829578844264,-0.3,0.7,0.45,0.51,0.68,0.013,0.93,-0.539083557951486,0.897666068222621,0.217627856365623,-1.01289134438306,1.32978723404255,3.16772257419139,3.63,3.56,3.56,3.76,2.89,3.54,3.43,3.46,3.74,4.59,4.97,5.61,5.51,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
"10",11549,-0.632939574944501,3.55348323568208,1.41053790366969,1581.98,1613790000,-0.996171430695443,-1.1822754681916,1.25610770068576,-0.377858966017715,-0.258231116849582,0.403033293427005,-1.20193531958237,-0.6509894568012,2.099609375,-0.75,0.59,0.12,1.38,1.09,0.013,1.33,-1.049042748492,-2.09964412811388,-0.217155266015209,-0.837209302325581,-1.12145072774993,12.0879120879121,3.62,3.56,3.56313,3.83,2.86,3.52,3.43,3.47,3.8,4.62,5,5.62,5.52,-0.867958888226558,-7.47366644737325,-8.65224213462739,-11.0592060254086,2.07823960880196,14.149008885851,2.22222222222221,15,-4.77901801651712,-12.4548696965055,0.577945298154047,8.64408902994112,-0.603446451229123,-3.89872239778213,0.261328,3.2190557,1.22985825241105,3.42788444649152
