Name;Mean;Median;Std.Dev.;Min.;Max.;Skewness;Kurtosis
Y_ndq_loss;0.014;0.06;1.187;-7.929;8.692;0.029;7.687
ndq_loss_l1;0.023;0.086;1.232;-8.681;8.692;-0.276;8.355
ndq_loss_l2;0.015;0.072;1.214;-8.681;8.692;-0.207;8.995
ndq_vol;2.27E+09;1.99E+09;9.95E+08;2;1.16E+10;3.097;16.282
aex_return;0.034;-0.011;1.146;-9.677;8.658;0.075;11.231
gdaxi_return;-0.001;-0.042;1.272;-11.786;7.126;-0.132;9.965
hsi_return;0.064;0.038;1.022;-12.925;10.967;-0.313;17.413
n225_return;0.017;0.013;1.096;-12.365;10.025;0.1;16.792
rut_return;-0.017;-0.066;1.469;-8.177;11.707;0.482;9.12
vix;19.647;17.045;9.077;2;77.6;2.354;10.931
mktrf;0.032;0.07;1.276;-12;9.77;-0.611;13.743
smb;0.004;0.01;0.63;-4.55;5.71;0.135;7.647
hml;-0.007;-0.01;0.771;-5;6.74;0.362;12.904
rmw;0.019;0.01;0.459;-2.59;3.29;0.154;5.999
cma;0.002;0;0.337;-2.6;2.46;-0.001;7.595
rf;0.005;0.001;0.006;0;2;1.337;3.834
umd;0.012;0.06;1.053;-14.37;7.12;-1.017;19.269
oil_return;-0.078;0.079;6.284;-301.966;53.086;-34.323;1601.824
gold_return;0.018;0.031;1.131;-9.354;9.028;-0.293;9.062
wheat_return;0.044;-0.054;2.035;-8.811;9.193;0.341;4.486
silver_return;0.036;0.093;2.041;-13.718;12.971;-0.486;8.58
natgas_return;0.011;-0.068;3.503;-19.067;38.314;1.056;12.643
tedspread;0.393;0.27;0.404;0.06;4.33;3.979;24.894
fedrate;1.303;0.41;1.563;0.04;5.41;1.352;3.754
baa10y;2.578;2.51;0.767;1.5;6.16;1.699;7.748
ust1m;1.165;0.29;1.472;0;5.27;1.37;3.888
ust3m;1.217;0.46;1.495;0;5.19;1.329;3.733
ust1y;1.418;0.8;1.5;0.04;5.3;1.167;3.293
ust2y;1.635;1.17;1.421;0.11;5.29;0.991;2.896
ust5y;2.297;1.98;1.264;0.19;5.23;0.5;2.279
ust10y;2.977;2.81;1.169;0.52;5.36;0.071;1.974
ust20y;3.53;3.36;1.211;0.87;5.96;-0.033;1.796
ust30y;3.673;3.6;1.119;0.99;5.86;-0.115;1.962
capacity_monthlygrowth;0.047;0.099;1.234;-13.368;6.577;-4.193;54.784
capacity_yoygrowth;0.265;0.755;5.046;-17.875;18.532;-0.866;6.441
energy_monthlygrowth;1.029;1.52;7.5;-33.21;21.687;-0.596;5.163
energy_yoygrowth;11.86;8.982;37.893;-60.828;168.819;0.886;4.864
housing_monthlygrowth;0.317;0.769;8.737;-26.993;23.958;0.07;2.907
housing_yoygrowth;1.97;3.628;20.159;-54.797;60.432;-0.332;3.422
unemp_monthlygrowth;0.236;0;14.366;-17.647;234.091;15.104;246.002
unemp_yoygrowth;5.209;-7.143;40.427;-58.503;308.333;3.912;23.441
manufac_monthlygrowth;0.344;0.481;5.682;-25.223;32.286;0.286;8.598
manufac_yoygrowth;3.074;3.542;13.922;-42.277;45.358;-0.523;4.831
m2_monthlygrowth;0.576;0.487;0.61;-0.459;6.377;5.383;44.502
m2_yoygrowth;7.151;6.167;4.425;1.615;26.86;2.734;10.938
indpro_monthlygrowth;0.073;0.133;1.218;-13.381;6.501;-4.473;57.952
indpro_yoygrowth;0.653;2.084;4.688;-17.262;16.183;-1.425;6.775
cpi_monthlygrowth;0.188;0.196;0.079;-0.198;2;-0.212;5.814
cpi_yoygrowth;2.268;2.289;0.558;0.668;3.484;-0.635;3.87
gdp_quarterlygrowth;1.019;1.125;1.603;-8.828;8.788;-1.748;25.649
gdp_yoygrowth;3.989;4.165;2.996;-7.689;17.366;0.041;9.828
