d;p;q;1;2;3
;0.95;0.7;4.3(0.15);4.48(0.2);33.71(2.8)
;0.95;0.8;4.94(0.15);4.24(0.14);13.52(0.82)
;0.95;0.9;4.02(0.12);4.12(0.1);18.67(2.07)
;0.99;0.7;6059.83(197.74);6922.93(231.72);80976.04(7311.73)
10;0.99;0.8;419.61(22.81);593.59(33.49);3491.52(513.48)
;0.99;0.9;26.59(2.25);46.77(4.46);1184.52(264.58)
;0.995;0.7;1182.4(38.31);1343.13(44.75);10318.81(719.68)
;0.995;0.8;80.93(4.89);117.9(7.46);644.71(99.29)
;0.995;0.9;10.31(0.33);15.97(1.04);223.55(38.11)
;0.95;0.7;7.8(0.41);8.92(0.46);25.27(1.1)
;0.95;0.8;3.81(0.14);3.25(0.12);13.17(0.34)
;0.95;0.9;3.46(0.1);3.48(0.11);19.86(2.75)
;0.99;0.7;6824.23(308.65);8026.18(272.25);30309.58(861.76)
20;0.99;0.8;462.54(21.94);570.8(30.89);3106.27(431.8)
;0.99;0.9;68.59(4.72);92.32(7.44);474.08(27.29)
;0.995;0.7;1414.08(62.9);1651.96(55.97);5160.93(142.26)
;0.995;0.8;104.61(5.36);127.98(7.69);660.21(100.57)
;0.995;0.9;21.58(1.18);27.82(1.87);154.44(3.55)
;0.95;0.7;6.19(0.26);5.74(0.29);38.16 (4.98)
;0.95;0.8;3.65(0.12);3.17(0.13);12.38 (0.53)
;0.95;0.9;3.93(0.12);3.51(0.12);19.03 (3.05)
;0.99;0.7;7292.34(313.25);6562.8(189.4);56608.1(4092)
30;0.99;0.8;448.64(30.42);415.1(23.97);2954.53(337.39)
;0.99;0.9;57.21(4.39);60.39(5.5);516.38(22.1)
;0.995;0.7;1460.96(59.3);1321.42(38.48);8778.84(636.83)
;0.995;0.8;98.42(7.38);87.3(5.62);632.53(77.43)
;0.995;0.9;17.97(0.94);16.76(1.15);162.17(5.68)
